participant,domain,utterance,utteranceType,utteranceExact,utteranceRounded,state,stateType,stateRounded,stateProb,affectProb,order
1,electric kettle,1001,sharp,1003,1000,50,round,50,0.025,0.75,1
1,electric kettle,1001,sharp,1003,1000,51,sharp,50,0.025,0.75,1
1,electric kettle,1001,sharp,1003,1000,500,round,500,0.05,0.75,1
1,electric kettle,1001,sharp,1003,1000,501,sharp,500,0.025,0.75,1
1,electric kettle,1001,sharp,1003,1000,1000,round,1000,0.575,0.75,1
1,electric kettle,1001,sharp,1003,1000,1001,sharp,1000,0.975,0.75,1
1,electric kettle,1001,sharp,1003,1000,5000,round,5000,0.025,0.75,1
1,electric kettle,1001,sharp,1003,1000,5001,sharp,5000,0.025,0.75,1
1,electric kettle,1001,sharp,1003,1000,10000,round,10000,0.025,0.75,1
1,electric kettle,1001,sharp,1003,1000,10001,sharp,10000,0.025,0.75,1
1,watch,1000,round,1000,1000,50,round,50,0.025,0.5,2
1,watch,1000,round,1000,1000,51,sharp,50,0.025,0.5,2
1,watch,1000,round,1000,1000,500,round,500,0.05,0.5,2
1,watch,1000,round,1000,1000,501,sharp,500,0.025,0.5,2
1,watch,1000,round,1000,1000,1000,round,1000,1,0.5,2
1,watch,1000,round,1000,1000,1001,sharp,1000,0.025,0.5,2
1,watch,1000,round,1000,1000,5000,round,5000,0.025,0.5,2
1,watch,1000,round,1000,1000,5001,sharp,5000,0,0.5,2
1,watch,1000,round,1000,1000,10000,round,10000,0.05,0.5,2
1,watch,1000,round,1000,1000,10001,sharp,10000,0.025,0.5,2
1,watch,501,sharp,503,500,50,round,50,0.05,0.25,3
1,watch,501,sharp,503,500,51,sharp,50,0.05,0.25,3
1,watch,501,sharp,503,500,500,round,500,0.025,0.25,3
1,watch,501,sharp,503,500,501,sharp,500,0.975,0.25,3
1,watch,501,sharp,503,500,1000,round,1000,0.075,0.25,3
1,watch,501,sharp,503,500,1001,sharp,1000,0.05,0.25,3
1,watch,501,sharp,503,500,5000,round,5000,0.025,0.25,3
1,watch,501,sharp,503,500,5001,sharp,5000,0.025,0.25,3
1,watch,501,sharp,503,500,10000,round,10000,0.025,0.25,3
1,watch,501,sharp,503,500,10001,sharp,10000,0.025,0.25,3
1,watch,5001,sharp,5002,5000,50,round,50,0.075,0.75,4
