workerID,domain,utteranceExact,utteranceRounded,utteranceType,stateExact,stateRounded,stateType,affectProb,order
1, electric kettle,1000,1000,round,500,500,round,0.975,1
1, electric kettle,10000,10000,round,9999,10000,sharp,0.5,2
1, watch,4997,5000,sharp,52,50,sharp,0.25,3
1, electric kettle,500,500,round,500,500,round,0.625,4
1, laptop,1000,1000,round,499,500,sharp,0.375,5
1, electric kettle,10002,10000,sharp,500,500,round,0.35,6
1, watch,10000,10000,round,5000,5000,round,0.6,7
1, watch,10000,10000,round,10000,10000,round,0.85,8
1, electric kettle,4999,5000,sharp,498,500,sharp,0.4,9
1, laptop,503,500,sharp,50,50,round,0.25,10
1, electric kettle,5003,5000,sharp,50,50,round,0.25,11
1, laptop,50,50,round,47,50,sharp,0.2,12
1, laptop,1000,1000,round,1001,1000,sharp,0.4,13
1, watch,10003,10000,sharp,10003,10000,sharp,0.75,14
1, watch,500,500,round,499,500,sharp,0.625,15
1, laptop,500,500,round,52,50,sharp,0.175,16
1, watch,52,50,sharp,50,50,round,0.375,17
1, electric kettle,500,500,round,499,500,sharp,0.65,18
1, electric kettle,10000,10000,round,1003,1000,sharp,0.275,19
1, electric kettle,503,500,sharp,503,500,sharp,0.7,20
1, watch,499,500,sharp,499,500,sharp,0.725,21
1, electric kettle,5000,5000,round,1000,1000,round,0.35,22
1, laptop,1000,1000,round,1000,1000,round,0.725,23
1, electric kettle,500,500,round,53,50,sharp,0.25,24
1, watch,9997,10000,sharp,47,50,sharp,0.15,25
1, electric kettle,5003,5000,sharp,51,50,sharp,0.15,26
1, laptop,10000,10000,round,10000,10000,round,0.875,27
1, electric kettle,5002,5000,sharp,500,500,round,0.4,28
1, watch,4997,5000,sharp,50,50,round,0.225,29
1, electric kettle,5000,5000,round,997,1000,sharp,0.375,30
2, electric kettle,10000,10000,round,4999,5000,sharp,1,1
2, watch,10000,10000,round,5000,5000,round,1,2
2, electric kettle,10002,10000,sharp,1000,1000,round,0.725,3
2, laptop,10000,10000,round,1001,1000,sharp,0.725,4
2, watch,500,500,round,500,500,round,0.75,5
2, electric kettle,498,500,sharp,498,500,sharp,0.5,6
2, laptop,5002,5000,sharp,5000,5000,round,0.5,7
2, laptop,4998,5000,sharp,50,50,round,0.75,8
2, watch,53,50,sharp,50,50,round,0.5,9
2, electric kettle,4997,5000,sharp,5000,5000,round,0.5,10
2, laptop,10000,10000,round,500,500,round,0.25,11
2, watch,1000,1000,round,501,500,sharp,0.275,12
2, laptop,998,1000,sharp,998,1000,sharp,0.5,13
2, electric kettle,5000,5000,round,50,50,round,0.5,14
2, laptop,10003,10000,sharp,52,50,sharp,0.025,15
2, laptop,50,50,round,50,50,round,0.5,16
2, laptop,5001,5000,sharp,500,500,round,0,17
2, laptop,10002,10000,sharp,10002,10000,sharp,0.5,18
2, laptop,501,500,sharp,49,50,sharp,0.5,19
2, laptop,1000,1000,round,1000,1000,round,0.7,20
2, electric kettle,1000,1000,round,500,500,round,0.95,21
2, watch,10000,10000,round,499,500,sharp,0.75,22
2, watch,10001,10000,sharp,5000,5000,round,0.075,23
2, electric kettle,50,50,round,49,50,sharp,0.3,24
2, electric kettle,1002,1000,sharp,53,50,sharp,0.05,25
2, watch,4998,5000,sharp,500,500,round,0,26
2, watch,5001,5000,sharp,49,50,sharp,0,27
2, laptop,9999,10000,sharp,1000,1000,round,0.025,28
