workerID,domain,state,stateType,stateRounded,stateProb,order
1,laptop,50,round,50,0,1
1,laptop,51,sharp,50,0,1
1,laptop,500,round,500,0.204081633,1
1,laptop,501,sharp,500,0.204081633,1
1,laptop,1000,round,1000,0.204081633,1
1,laptop,1001,sharp,1000,0.204081633,1
1,laptop,5000,round,5000,0.091836735,1
1,laptop,5001,sharp,5000,0.091836735,1
1,laptop,10000,round,10000,0,1
1,laptop,10001,sharp,10000,0,1
1,watch,50,round,50,0.1,2
1,watch,51,sharp,50,0.1,2
1,watch,500,round,500,0.1,2
1,watch,501,sharp,500,0.1,2
1,watch,1000,round,1000,0.1,2
1,watch,1001,sharp,1000,0.1,2
1,watch,5000,round,5000,0.1,2
1,watch,5001,sharp,5000,0.1,2
1,watch,10000,round,10000,0.1,2
1,watch,10001,sharp,10000,0.1,2
1,electric kettle,50,round,50,0.5,3
1,electric kettle,51,sharp,50,0.5,3
1,electric kettle,500,round,500,0,3
1,electric kettle,501,sharp,500,0,3
1,electric kettle,1000,round,1000,0,3
1,electric kettle,1001,sharp,1000,0,3
1,electric kettle,5000,round,5000,0,3
1,electric kettle,5001,sharp,5000,0,3
1,electric kettle,10000,round,10000,0,3
1,electric kettle,10001,sharp,10000,0,3
2,watch,50,round,50,0.295454545,1
2,watch,51,sharp,50,0.242424242,1
2,watch,500,round,500,0.098484848,1
2,watch,501,sharp,500,0.098484848,1
2,watch,1000,round,1000,0.075757576,1
2,watch,1001,sharp,1000,0.075757576,1
2,watch,5000,round,5000,0.03030303,1
2,watch,5001,sharp,5000,0.037878788,1
2,watch,10000,round,10000,0.022727273,1
2,watch,10001,sharp,10000,0.022727273,1
2,electric kettle,50,round,50,0.469879518,2
2,electric kettle,51,sharp,50,0.481927711,2
2,electric kettle,500,round,500,0.024096386,2
2,electric kettle,501,sharp,500,0.024096386,2
2,electric kettle,1000,round,1000,0,2
2,electric kettle,1001,sharp,1000,0,2
2,electric kettle,5000,round,5000,0,2
2,electric kettle,5001,sharp,5000,0,2
2,electric kettle,10000,round,10000,0,2
2,electric kettle,10001,sharp,10000,0,2
2,laptop,50,round,50,0,3
2,laptop,51,sharp,50,0,3
2,laptop,500,round,500,0.233333333,3
2,laptop,501,sharp,500,0.233333333,3
2,laptop,1000,round,1000,0.266666667,3
2,laptop,1001,sharp,1000,0.266666667,3
2,laptop,5000,round,5000,0,3
2,laptop,5001,sharp,5000,0,3
2,laptop,10000,round,10000,0,3
2,laptop,10001,sharp,10000,0,3
3,watch,50,round,50,0.175438596,1
3,watch,51,sharp,50,0.175438596,1
3,watch,500,round,500,0.131578947,1
3,watch,501,sharp,500,0.131578947,1
3,watch,1000,round,1000,0.100877193,1
3,watch,1001,sharp,1000,0.100877193,1
3,watch,5000,round,5000,0.052631579,1
3,watch,5001,sharp,5000,0.052631579,1
3,watch,10000,round,10000,0.039473684,1
3,watch,10001,sharp,10000,0.039473684,1
3,electric kettle,50,round,50,0.347826087,2
3,electric kettle,51,sharp,50,0.347826087,2
3,electric kettle,500,round,500,0.086956522,2
3,electric kettle,501,sharp,500,0.086956522,2
3,electric kettle,1000,round,1000,0.043478261,2
3,electric kettle,1001,sharp,1000,0.052173913,2
3,electric kettle,5000,round,5000,0.017391304,2
3,electric kettle,5001,sharp,5000,0.017391304,2
3,electric kettle,10000,round,10000,0,2
3,electric kettle,10001,sharp,10000,0,2
3,laptop,50,round,50,0.020942408,3
3,laptop,51,sharp,50,0.020942408,3
3,laptop,500,round,500,0.130890052,3
3,laptop,501,sharp,500,0.12565445,3
3,laptop,1000,round,1000,0.157068063,3
