workerID,domain,stateRounded,stateType,affectProb,order
1,laptop,1000,round,0.65,1
1,watch,500,sharp,0.95,2
1,laptop,5000,round,0.25,3
1,electric kettle,500,sharp,0.775,4
1,watch,1000,round,0.725,5
1,watch,10000,sharp,1,6
1,watch,5000,round,1,7
1,watch,1000,sharp,0.725,8
1,electric kettle,5000,round,0.95,9
1,electric kettle,10000,sharp,1,10
1,watch,50,sharp,0,11
1,electric kettle,10000,round,0.925,12
1,laptop,500,round,0.25,13
1,electric kettle,50,round,0.25,14
1,laptop,5000,sharp,0.95,15
2,electric kettle,1000,round,0.75,1
2,watch,50,round,0.25,2
2,electric kettle,5000,sharp,0.975,3
2,laptop,500,sharp,0.25,4
2,laptop,5000,round,0.975,5
2,watch,1000,round,0.775,6
2,laptop,10000,sharp,0.975,7
2,electric kettle,500,sharp,0.275,8
2,watch,10000,round,0.975,9
2,laptop,10000,round,1,10
2,laptop,50,round,0,11
2,electric kettle,5000,round,0.75,12
2,watch,500,sharp,0.725,13
2,watch,10000,sharp,1,14
2,watch,1000,sharp,0.975,15
3,electric kettle,5000,sharp,1,1
3,watch,500,sharp,0.625,2
3,laptop,50,sharp,0,3
3,laptop,10000,sharp,0.75,4
3,electric kettle,500,sharp,0.575,5
3,laptop,5000,sharp,0.525,6
3,electric kettle,50,sharp,0.15,7
3,laptop,500,sharp,0.325,8
3,watch,1000,round,0.6,9
3,watch,5000,sharp,0.925,10
3,electric kettle,50,round,0.05,11
3,electric kettle,10000,sharp,1,12
3,laptop,10000,round,0.925,13
3,watch,1000,sharp,0.7,14
3,electric kettle,10000,round,1,15
4,watch,500,sharp,0.75,1
4,electric kettle,1000,round,0.75,2
4,watch,5000,sharp,0.975,3
4,electric kettle,1000,sharp,0.75,4
4,electric kettle,5000,round,1,5
4,electric kettle,500,round,0.5,6
4,watch,1000,sharp,0.8,7
4,watch,500,round,0.75,8
4,laptop,5000,round,1,9
4,laptop,5000,sharp,1,10
4,watch,50,round,0.125,11
4,electric kettle,50,round,0,12
4,laptop,50,sharp,0,13
4,watch,5000,round,1,14
4,electric kettle,5000,sharp,1,15
5,electric kettle,1000,sharp,1,1
5,laptop,1000,round,0.375,2
5,laptop,10000,sharp,1,3
5,laptop,500,sharp,0.1,4
5,laptop,500,round,0.1,5
5,watch,1000,round,1,6
5,watch,10000,round,1,7
5,watch,1000,sharp,1,8
5,laptop,50,round,0,9
5,electric kettle,10000,round,1,10
5,electric kettle,5000,round,1,11
5,electric kettle,10000,sharp,1,12
5,laptop,1000,sharp,0.375,13
5,laptop,5000,round,0.75,14
5,watch,50,round,0.275,15
6,electric kettle,50,sharp,0.25,1
6,laptop,5000,sharp,1,2
6,electric kettle,1000,round,1,3
6,electric kettle,5000,sharp,1,4
6,laptop,10000,round,1,5
6,watch,500,sharp,0.75,6
6,watch,1000,sharp,1,7
6,electric kettle,10000,round,1,8
6,laptop,500,sharp,0.25,9
6,watch,5000,round,1,10
6,watch,50,sharp,0.25,11
6,electric kettle,10000,sharp,1,12
6,electric kettle,500,round,0.5,13
6,watch,5000,sharp,1,14
6,watch,10000,sharp,1,15
7,watch,1000,round,1,1
7,watch,5000,round,1,2
7,watch,500,sharp,0.625,3
7,watch,50,round,0.2,4
7,electric kettle,10000,sharp,0.975,5
7,electric kettle,1000,round,0.975,6
7,laptop,50,sharp,0,7
7,watch,10000,round,1,8
7,electric kettle,50,round,0.425,9
7,laptop,10000,round,1,10
7,laptop,1000,round,0.25,11
7,laptop,5000,sharp,0.975,12
7,electric kettle,10000,round,1,13
7,laptop,5000,round,1,14
7,watch,1000,sharp,0.65,15
8,watch,1000,sharp,0.975,1
8,laptop,500,round,0.75,2
8,watch,5000,sharp,0.975,3
8,laptop,50,round,0.25,4
8,watch,10000,sharp,1,5
8,laptop,10000,sharp,1,6
8,watch,5000,round,1,7
8,laptop,5000,round,1,8
8,electric kettle,5000,round,0.975,9
8,watch,50,sharp,0.25,10
8,electric kettle,10000,sharp,0.975,11
8,electric kettle,500,round,1,12
8,electric kettle,5000,sharp,0.975,13
8,watch,1000,round,0.975,14
8,electric kettle,1000,round,0.975,15
9,laptop,1000,sharp,0.975,1
9,watch,5000,round,1,2
9,laptop,1000,round,0.8,3
9,electric kettle,1000,sharp,0.7,4
9,watch,50,sharp,0.4,5
9,electric kettle,5000,round,0.925,6
9,watch,5000,sharp,0.975,7
9,electric kettle,5000,sharp,1,8
9,electric kettle,50,round,0.325,9
9,watch,10000,round,1,10
9,electric kettle,500,round,0.8,11
9,laptop,50,sharp,0.225,12
9,electric kettle,1000,round,0.875,13
9,laptop,10000,round,0.975,14
9,laptop,5000,sharp,1,15
10,laptop,10000,round,1,1
10,watch,1000,round,0.8,2
10,electric kettle,10000,round,1,3
10,laptop,5000,round,0.825,4
10,watch,5000,sharp,0.975,5
10,watch,5000,round,1,6
10,electric kettle,50,sharp,0.375,7
10,laptop,50,sharp,0,8
10,watch,500,sharp,0.625,9
10,electric kettle,500,sharp,1,10
10,laptop,5000,sharp,0.75,11
10,electric kettle,5000,round,1,12
10,watch,10000,round,1,13
10,electric kettle,1000,round,1,14
10,watch,50,sharp,0.25,15
11,electric kettle,1000,sharp,1,1
11,laptop,1000,round,0.75,2
11,laptop,10000,round,1,3
11,laptop,500,round,0.6,4
11,electric kettle,500,round,0.975,5
11,watch,50,sharp,0.5,6
11,electric kettle,50,round,0.6,7
11,electric kettle,500,sharp,1,8
11,watch,1000,round,1,9
11,laptop,1000,sharp,0.75,10
11,laptop,5000,round,1,11
11,laptop,10000,sharp,1,12
11,electric kettle,10000,sharp,1,13
11,laptop,50,sharp,0.1,14
11,watch,10000,round,1,15
12,watch,1000,sharp,1,1
12,laptop,500,sharp,0.375,2
12,laptop,10000,round,1,3
12,electric kettle,10000,round,1,4
