workerID,gender,age,income,language,order,imageID,imageCategory,utterance,ironyRating,stateRating,sad,disgusted,angry,neutral,content,happy,excited
1,F,25,6,English,1,9,terrible,good,1,2,0.1,0.04,0.23,0.24,0.66,0.01,0.09
1,F,25,6,English,2,5,ok,terrible,0.72,3,0.07,0.06,0.24,0.65,0.51,0.01,0.03
1,F,25,6,English,3,7,terrible,good,1,1,0.65,0.55,0.34,0.05,0.16,0.02,0.07
1,F,25,6,English,4,2,amazing,amazing,0,5,0.02,0.03,0.03,0.06,0.26,0.98,0.88
1,F,25,6,English,5,1,amazing,terrible,0.98,4,0.01,0.02,0,0.01,0.08,0.36,0.24
1,F,25,6,English,6,3,amazing,good,0.11,4,0.05,0.03,0.02,0.27,0.61,0.67,0.61
1,F,25,6,English,7,8,terrible,terrible,0.05,2,0.16,0.33,0.03,0.52,0.37,0.01,0.02
1,F,25,6,English,8,4,ok,ok,0.5,3,0.38,0.29,0.07,0.99,0.92,0.01,0.12
1,F,25,6,English,9,6,ok,ok,0.65,4,0.02,0,0.02,0.58,0.81,0.34,0.16
2,M,25,6,english,1,6,ok,bad,0.78,2,0.44,0.41,0.35,0.37,0.37,0.41,0.69
2,M,25,6,english,2,4,ok,ok,0.1,3,0.03,0.04,0.05,0.7,0.63,0.09,0.06
2,M,25,6,english,3,2,amazing,good,0.2,4,0.04,0.06,0.05,0.05,0.06,0.52,0.67
2,M,25,6,english,4,1,amazing,good,0.26,4,0.12,0.08,0.08,0.07,0.05,0.68,0.76
2,M,25,6,english,5,7,terrible,terrible,0.11,1,0.59,0.53,0.54,0.08,0.35,0.1,0.1
2,M,25,6,english,6,3,amazing,amazing,0.16,5,0.09,0.15,0.17,0.07,0.08,0.59,0.52
2,M,25,6,english,7,9,terrible,amazing,0.96,5,0.09,0.15,0.19,0.15,0.09,0.78,0.6
2,M,25,6,english,8,8,terrible,bad,0.09,2,0.7,0.25,0.27,0.45,0.3,0.15,0.28
2,M,25,6,english,9,5,ok,terrible,0.73,1,0.57,0.35,0.46,0.7,0.33,0.29,0.47
3,M,25,4,English,1,6,ok,bad,0.99,2,0.42,0.69,0.51,0.62,0.54,0.55,0.55
3,M,25,4,English,2,5,ok,bad,0.95,2,0.51,0.7,0.48,0.72,0.55,0.63,0.41
3,M,25,4,English,3,7,terrible,terrible,0.01,1,0.65,0.97,0.39,0.46,0.27,0.15,0.28
3,M,25,4,English,4,2,amazing,terrible,1,1,0.47,0.52,0.34,0.52,0.31,0.39,0.4
3,M,25,4,English,5,3,amazing,ok,0.44,4,0.36,0.36,0.38,0.48,0.38,0.62,0.49
3,M,25,4,English,6,4,ok,good,0.31,4,0.23,0.16,0.15,0.8,0.74,0.71,0.69
3,M,25,4,English,7,8,terrible,ok,0.44,3,0.2,0.71,0.35,0.74,0.53,0.28,0.55
3,M,25,4,English,8,1,amazing,good,0.12,4,0.13,0.29,0.17,0.63,0.55,0.61,0.57
3,M,25,4,English,9,9,terrible,good,0.9,2,0.47,0.87,0.36,0.51,0.27,0.3,0.24
4,M,35,6,english,1,8,terrible,ok,0.6,2,0.47,0.35,0.41,0.52,0.67,0.14,0.14
4,M,35,6,english,2,5,ok,good,0.29,4,0.06,0.02,0.03,0.25,0.84,0.78,0.73
4,M,35,6,english,3,9,terrible,terrible,0.74,1,0.41,0.71,0.61,0.25,0.09,0.1,0.07
4,M,35,6,english,4,4,ok,good,0.64,4,0.04,0.02,0.09,0.7,0.71,0.46,0.39
4,M,35,6,english,5,7,terrible,ok,0.97,3,0.3,0.64,0.56,0.42,0.17,0.11,0.15
4,M,35,6,english,6,2,amazing,terrible,0.93,5,0.04,0.06,0.09,0.54,0.77,0.65,0.52
4,M,35,6,english,7,6,ok,ok,0.5,3,0.04,0.01,0.05,0.74,0.67,0.45,0.63
4,M,35,6,english,8,1,amazing,terrible,0.91,4,0.14,0.07,0.1,0.7,0.74,0.55,0.44
4,M,35,6,english,9,3,amazing,good,0.15,5,0.14,0.16,0.13,0.59,0.68,0.37,0.45
5,M,55,4,English,1,7,terrible,good,0.93,1,0.66,0.7,0.45,0.32,0.47,0.36,0.33
5,M,55,4,English,2,8,terrible,ok,0.36,2,0.56,0.37,0.38,0.55,0.59,0.42,0.26
5,M,55,4,English,3,4,ok,ok,0.15,4,0.23,0.24,0.16,0.54,0.8,0.62,0.61
5,M,55,4,English,4,3,amazing,terrible,0.93,5,0.08,0.11,0.18,0.55,0.66,0.82,0.8
5,M,55,4,English,5,1,amazing,bad,0.83,4,0.17,0.19,0.26,0.56,0.89,0.73,0.62
5,M,55,4,English,6,6,ok,bad,0.43,3,0.38,0.35,0.29,0.59,0.79,0.57,0.57
5,M,55,4,English,7,2,amazing,terrible,0.82,5,0.18,0.18,0.25,0.54,0.72,0.77,0.69
5,M,55,4,English,8,5,ok,good,0.5,4,0.38,0.33,0.31,0.77,0.83,0.69,0.57
5,M,55,4,English,9,9,terrible,bad,0.05,1,0.8,0.88,0.76,0.17,0.32,0.24,0.14
6,M,25,6,english,1,5,ok,ok,0.35,4,0.46,0.31,0.35,0.78,0.56,0.44,0.51
6,M,25,6,english,2,7,terrible,amazing,0.96,1,0.81,0.77,0.78,0.38,0.3,0.36,0.32
6,M,25,6,english,3,6,ok,terrible,0.9,4,0.25,0.21,0.23,0.29,0.71,0.69,0.77
6,M,25,6,english,4,8,terrible,ok,0.82,2,0.72,0.75,0.75,0.66,0.33,0.35,0.35
6,M,25,6,english,5,4,ok,amazing,0.74,2,0.71,0.71,0.7,0.3,0.35,0.35,0.38
6,M,25,6,english,6,2,amazing,bad,0.89,5,0.27,0.31,0.27,0.29,0.69,0.78,0.72
6,M,25,6,english,7,9,terrible,terrible,0.07,1,0.8,0.75,0.77,0.25,0.24,0.24,0.28
6,M,25,6,english,8,3,amazing,ok,0.72,4,0.24,0.24,0.24,0.25,0.82,0.83,0.78
6,M,25,6,english,9,1,amazing,bad,0.79,5,0.25,0.23,0.28,0.31,0.78,0.82,0.75
7,F,35,4,English,1,6,ok,terrible,1,4,0.1,0.16,0.16,0.55,0.71,0.7,0.84
7,F,35,4,English,2,7,terrible,bad,0.11,2,0.66,0.51,0.57,0.45,0.17,0.16,0.24
7,F,35,4,English,3,3,amazing,bad,0.92,5,0.06,0.24,0.07,0.62,0.57,0.66,0.56
7,F,35,4,English,4,4,ok,terrible,0.31,3,0.69,0.58,0.66,0.29,0.08,0.11,0.24
7,F,35,4,English,5,8,terrible,bad,0.19,2,0.72,0.22,0.57,0.71,0.12,0.11,0.13
7,F,35,4,English,6,1,amazing,terrible,0.7,4,0.09,0.09,0.1,0.58,0.62,0.64,0.51
7,F,35,4,English,7,9,terrible,bad,0.09,2,0.68,0.57,0.55,0.62,0.12,0.09,0.13
7,F,35,4,English,8,2,amazing,terrible,0.85,4,0.09,0.15,0.08,0.58,0.71,0.71,0.26
7,F,35,4,English,9,5,ok,amazing,0.61,5,0.06,0.07,0.11,0.22,0.86,0.88,0.78
8,M,25,4,English,1,5,ok,amazing,0,4,0.01,0,0.01,0,1,1,1
8,M,25,4,English,2,9,terrible,ok,1,2,0.42,0.19,0.36,0.5,0.13,0.2,0.27
8,M,25,4,English,3,6,ok,ok,0,4,0.01,0,0,0.77,0.57,0.28,0.47
8,M,25,4,English,4,2,amazing,amazing,0.13,4,0,0,0,0.22,1,0.86,0.88
8,M,25,4,English,5,8,terrible,bad,0.06,3,0.66,0.42,0.22,0.54,0,0,0
8,M,25,4,English,6,1,amazing,terrible,1,5,0.12,0.16,0.49,0.14,0.1,0.13,0.12
8,M,25,4,English,7,7,terrible,bad,0.01,1,0.67,0.08,0.8,0.06,0.05,0.06,0.06
8,M,25,4,English,8,4,ok,ok,0.06,3,0.07,0.08,0.07,0.65,0.72,0.29,0.29
8,M,25,4,English,9,3,amazing,ok,0.05,5,0.16,0.1,0,0.7,0.76,0.79,0.51
9,M,35,4,english,1,6,ok,good,0,4,0.01,0.01,0.01,0.5,0.97,0.98,1
9,M,35,4,english,2,4,ok,ok,0,3,0.01,0,0,1,1,0.51,0.51
9,M,35,4,english,3,9,terrible,amazing,1,1,0,0.01,0.01,0,0.01,0,0.02
9,M,35,4,english,4,1,amazing,bad,1,5,0,0.01,0.01,1,0.99,1,1
9,M,35,4,english,5,2,amazing,amazing,0,5,0.01,0,0,0.5,1,1,1
9,M,35,4,english,6,7,terrible,terrible,0,1,0.49,1,0.49,0,0.01,0,0.02
9,M,35,4,english,7,3,amazing,terrible,1,5,0.02,0.01,0,0.48,1,1,1
9,M,35,4,english,8,8,terrible,good,1,1,0.48,0.98,0.47,0.03,0,0.01,0
9,M,35,4,english,9,5,ok,ok,0,3,0.02,0,0.02,1,1,0.01,0.01
10,F,35,6,English,1,3,amazing,good,0,4,0.01,0.02,0,0.49,0.98,0.99,0.97
10,F,35,6,English,2,8,terrible,amazing,0.86,2,0.84,0.89,0.86,0.52,0.07,0.21,0.13
10,F,35,6,English,3,5,ok,good,0.12,4,0.02,0.04,0.04,0.44,0.99,0.93,0.97
10,F,35,6,English,4,6,ok,good,0.04,4,0.01,0.04,0.03,0.51,0.97,0.91,0.93
10,F,35,6,English,5,1,amazing,good,0.07,5,0.01,0.03,0.04,0.47,0.98,0.97,0.99
10,F,35,6,English,6,4,ok,terrible,0.14,1,1,1,0.98,0.17,0.01,0.02,0
10,F,35,6,English,7,9,terrible,ok,0.72,2,0.59,0.41,0.31,0.68,0.46,0.35,0.46
10,F,35,6,English,8,7,terrible,good,0.95,1,0.62,0.53,0.74,0.71,0.32,0.27,0.39
10,F,35,6,English,9,2,amazing,ok,0.86,5,0.01,0.01,0.01,0.15,0.93,0.87,0.91
11,F,35,4,english,1,3,amazing,good,0.82,4,0,0,0,0,0.96,0.99,0.72
11,F,35,4,english,2,8,terrible,terrible,0.86,1,0.18,0.71,0,0.88,0,0,0
11,F,35,4,english,3,1,amazing,terrible,0,3,0,0.89,0,1,0,0,0.02
11,F,35,4,english,4,9,terrible,bad,0.93,2,0.08,0.77,0,0.99,0,0,0
11,F,35,4,english,5,6,ok,good,0.76,4,0,0,0,0,0.86,0.81,0.2
11,F,35,4,english,6,7,terrible,terrible,0.73,1,0.5,0.96,0,0.82,0,0.03,0
11,F,35,4,english,7,5,ok,ok,0.27,3,0,0.02,0.01,1,0.54,0.45,0.02
11,F,35,4,english,8,4,ok,good,0.81,4,0,0.03,0,0,0.98,0.81,0.2
11,F,35,4,english,9,2,amazing,terrible,1,4,0,0.87,0,0.89,0,0.01,0
12,F,35,8,English,1,7,terrible,bad,0.08,4,0.54,0.42,0.42,0.7,0.19,0.22,0.19
12,F,35,8,English,2,9,terrible,good,0.84,2,0.19,0.16,0.24,0.48,0.77,0.76,0.76
12,F,35,8,English,3,8,terrible,ok,0.42,3,0.3,0.24,0.15,0.49,0.52,0.58,0.47
12,F,35,8,English,4,1,amazing,amazing,0.03,5,0.03,0.01,0.05,0.27,0.99,0.99,0.99
12,F,35,8,English,5,3,amazing,amazing,0.01,5,0.02,0,0.04,0.15,0.98,0.98,0.98
12,F,35,8,English,6,6,ok,ok,0.42,3,0.14,0.3,0.14,0.86,0.61,0.67,0.57
12,F,35,8,English,7,2,amazing,good,0.19,4,0.01,0.01,0.06,0.16,0.99,0.97,0.98
12,F,35,8,English,8,5,ok,bad,0.85,2,0.73,0.83,0.72,0.48,0.04,0.05,0
12,F,35,8,English,9,4,ok,bad,0.56,2,0.68,0.72,0.77,0.62,0.07,0.13,0.09
13,F,25,4,english,1,6,ok,amazing,0,4,0.01,0.03,0.06,0.21,0.58,0.61,0.59
13,F,25,4,english,2,7,terrible,bad,0.03,1,0.65,0.33,0.44,0.29,0.33,0.22,0.55
13,F,25,4,english,3,2,amazing,bad,0.99,5,0.03,0.02,0.04,0.05,0.9,0.91,0.92
13,F,25,4,english,4,9,terrible,good,1,2,0.57,0.55,0.49,0.39,0.36,0.26,0.28
13,F,25,4,english,5,5,ok,ok,0.23,3,0.35,0.03,0.18,0.47,0.35,0.48,0.19
13,F,25,4,english,6,8,terrible,amazing,0.97,2,0.66,0.4,0.21,0.44,0.3,0.26,0.11
13,F,25,4,english,7,4,ok,ok,0.43,3,0.4,0.27,0.1,0.28,0.09,0.11,0.11
13,F,25,4,english,8,1,amazing,good,0.08,4,0.07,0.09,0.08,0.08,0.51,0.63,0.51
13,F,25,4,english,9,3,amazing,ok,0.72,5,0.02,0.12,0.03,0.03,0.94,0.93,0.94
14,M,45,8,English,1,3,amazing,bad,0.85,2,0.66,0.67,0.72,0.52,0.12,0.23,0.15
14,M,45,8,English,2,1,amazing,bad,0.95,2,0.68,0.75,0.69,0.24,0.19,0.14,0.2
14,M,45,8,English,3,5,ok,good,0.64,4,0.14,0.19,0.11,0.37,0.75,0.71,0.67
14,M,45,8,English,4,9,terrible,good,0.97,4,0.19,0.18,0.17,0.43,0.76,0.22,0.77
14,M,45,8,English,5,6,ok,ok,0.62,3,0.31,0.25,0.41,0.51,0.34,0.47,0.51
14,M,45,8,English,6,7,terrible,terrible,0,1,0.78,0.86,0.73,0.4,0.07,0.09,0.06
14,M,45,8,English,7,8,terrible,good,0.62,4,0.1,0.25,0.17,0.46,0.73,0.77,0.75
14,M,45,8,English,8,2,amazing,ok,0.6,3,0.36,0.25,0.26,0.75,0.41,0.47,0.47
14,M,45,8,English,9,4,ok,ok,0.5,3,0.38,0.41,0.28,0.69,0.54,0.34,0.46
15,F,65,0,English,1,8,terrible,good,0.5,2,0.38,0.55,0.49,0.48,0.47,0.47,0.51
15,F,65,0,English,2,7,terrible,bad,0,1,0.65,0.5,0.49,0.12,0.1,0.19,0.02
15,F,65,0,English,3,3,amazing,good,0.02,4,0.04,0.03,0.03,0.17,0.94,0.95,0.96
15,F,65,0,English,4,2,amazing,amazing,0,5,0.06,0.02,0.02,0.04,0.96,0.97,0.96
15,F,65,0,English,5,9,terrible,ok,0.84,2,0.62,0.68,0.69,0.21,0.09,0.07,0.05
15,F,65,0,English,6,6,ok,terrible,0.76,4,0.7,0.61,0.66,0.27,0.27,0.3,0.49
15,F,65,0,English,7,1,amazing,amazing,0,5,0.06,0.03,0.02,0.16,0.98,0.95,0.99
15,F,65,0,English,8,4,ok,ok,0.07,3,0.46,0.51,0.56,0.51,0.24,0.36,0.48
15,F,65,0,English,9,5,ok,bad,0.71,2,0.64,0.64,0.67,0.32,0.2,0.19,0.22
16,F,45,4,ENGLISH,1,6,ok,bad,0.98,5,0.01,0.06,0.04,0.26,0.9,0.98,0.94
16,F,45,4,ENGLISH,2,2,amazing,terrible,0.99,5,0.02,0,0.01,0.01,0.96,1,0.99
16,F,45,4,ENGLISH,3,7,terrible,amazing,0.01,1,0.96,0.83,0.78,0.02,0.02,0.01,0.02
16,F,45,4,ENGLISH,4,8,terrible,amazing,0.69,2,0.7,0.55,0.63,0.73,0.29,0.37,0.26
16,F,45,4,ENGLISH,5,1,amazing,amazing,0.02,5,0.02,0.02,0.02,0.2,0.99,0.97,0.98
16,F,45,4,ENGLISH,6,9,terrible,good,0.98,1,0.74,0.74,0.76,0.11,0.02,0.13,0.11
16,F,45,4,ENGLISH,7,5,ok,good,0.02,4,0.01,0.01,0.02,0.52,0.96,0.94,0.86
16,F,45,4,ENGLISH,8,4,ok,ok,0.5,3,0.39,0.36,0.38,0.63,0.68,0.69,0.37
16,F,45,4,ENGLISH,9,3,amazing,good,0.01,5,0.02,0.01,0.01,0.26,0.99,0.98,0.98
17,M,35,4,English,1,7,terrible,ok,0.87,2,0.64,0.63,0.69,0.41,0.3,0.26,0.23
17,M,35,4,English,2,3,amazing,terrible,0.96,5,0.02,0.01,0.02,0.01,0.98,1,0.99
17,M,35,4,English,3,9,terrible,amazing,0.98,1,0.98,0.99,1,0,0,0,0.01
17,M,35,4,English,4,6,ok,bad,0.81,4,0.28,0.21,0.24,0.41,0.77,0.82,0.73
17,M,35,4,English,5,4,ok,amazing,0.16,4,0.16,0.14,0.2,0.27,0.76,0.77,0.75
17,M,35,4,English,6,5,ok,terrible,0.89,4,0.08,0.08,0.06,0.16,0.88,0.86,0.84
17,M,35,4,English,7,8,terrible,good,0.08,4,0.23,0.07,0.13,0.39,0.77,0.64,0.67
17,M,35,4,English,8,2,amazing,ok,0.6,5,0.02,0.02,0.01,0.05,0.97,0.98,0.99
17,M,35,4,English,9,1,amazing,good,0.05,5,0.02,0.02,0.01,0.11,0.98,0.99,0.99
18,F,35,4,English,1,2,amazing,amazing,0,5,0,0,0,0.01,0.98,0.99,1
18,F,35,4,English,2,4,ok,good,1,3,0.01,0.01,0,0.99,0.01,0.01,0
18,F,35,4,English,3,8,terrible,terrible,0,3,0,0,0.52,1,0,0,0
18,F,35,4,English,4,9,terrible,ok,1,1,0,0,0.01,1,0,0,0
18,F,35,4,English,5,1,amazing,bad,1,5,0,1,1,0,0,0,0
18,F,35,4,English,6,7,terrible,bad,0,1,0,0,0,0,0,0,0
18,F,35,4,English,7,5,ok,good,0,4,0,0,0,0,1,1,1
18,F,35,4,English,8,6,ok,bad,1,4,0,1,1,0,0,0,0
18,F,35,4,English,9,3,amazing,amazing,0,5,0,0,0,0,1,1,1
19,F,35,4,english,1,6,ok,terrible,0.6,4,0.86,0.81,0.25,0.48,0.38,0.09,0.52
19,F,35,4,english,2,2,amazing,ok,0.11,5,0.09,0.09,0.18,0.23,0.77,0.57,0.51
19,F,35,4,english,3,7,terrible,good,0.9,1,0.19,0.14,0.17,0.32,0.56,0.7,0.43
19,F,35,4,english,4,8,terrible,bad,0.07,2,0.45,0.53,0.43,0.24,0.29,0.07,0.18
