workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.imageIDs	Answer.imageCategories	Answer.utterances	Answer.ironyRatings	Answer.stateRatings	Answer.probsSad	Answer.probsDisgusted	Answer.probsAngry	Answer.probsNeutral	Answer.probsContent	Answer.probsHappy	Answer.probsExcited
1	F	25	6	English	1,2,3,4,5,6,7,8,9	9,5,7,2,1,3,8,4,6	terrible,ok,terrible,amazing,amazing,amazing,terrible,ok,ok	good,terrible,good,amazing,terrible,good,terrible,ok,ok	1,0.72,1,0,0.98,0.11,0.05,0.5,0.65	2,3,1,5,4,4,2,3,4	0.1,0.07,0.65,0.02,0.01,0.05,0.16,0.38,0.02	0.04,0.06,0.55,0.03,0.02,0.03,0.33,0.29,0	0.23,0.24,0.34,0.03,0,0.02,0.03,0.07,0.02	0.24,0.65,0.05,0.06,0.01,0.27,0.52,0.99,0.58	0.66,0.51,0.16,0.26,0.08,0.61,0.37,0.92,0.81	0.01,0.01,0.02,0.98,0.36,0.67,0.01,0.01,0.34	0.09,0.03,0.07,0.88,0.24,0.61,0.02,0.12,0.16
2	M	25	6	english	1,2,3,4,5,6,7,8,9	6,4,2,1,7,3,9,8,5	ok,ok,amazing,amazing,terrible,amazing,terrible,terrible,ok	bad,ok,good,good,terrible,amazing,amazing,bad,terrible	0.78,0.1,0.2,0.26,0.11,0.16,0.96,0.09,0.73	2,3,4,4,1,5,5,2,1	0.44,0.03,0.04,0.12,0.59,0.09,0.09,0.7,0.57	0.41,0.04,0.06,0.08,0.53,0.15,0.15,0.25,0.35	0.35,0.05,0.05,0.08,0.54,0.17,0.19,0.27,0.46	0.37,0.7,0.05,0.07,0.08,0.07,0.15,0.45,0.7	0.37,0.63,0.06,0.05,0.35,0.08,0.09,0.3,0.33	0.41,0.09,0.52,0.68,0.1,0.59,0.78,0.15,0.29	0.69,0.06,0.67,0.76,0.1,0.52,0.6,0.28,0.47
3	M	25	4	English	1,2,3,4,5,6,7,8,9	6,5,7,2,3,4,8,1,9	ok,ok,terrible,amazing,amazing,ok,terrible,amazing,terrible	bad,bad,terrible,terrible,ok,good,ok,good,good	0.99,0.95,0.01,1,0.44,0.31,0.44,0.12,0.9	2,2,1,1,4,4,3,4,2	0.42,0.51,0.65,0.47,0.36,0.23,0.2,0.13,0.47	0.69,0.7,0.97,0.52,0.36,0.16,0.71,0.29,0.87	0.51,0.48,0.39,0.34,0.38,0.15,0.35,0.17,0.36	0.62,0.72,0.46,0.52,0.48,0.8,0.74,0.63,0.51	0.54,0.55,0.27,0.31,0.38,0.74,0.53,0.55,0.27	0.55,0.63,0.15,0.39,0.62,0.71,0.28,0.61,0.3	0.55,0.41,0.28,0.4,0.49,0.69,0.55,0.57,0.24
4	M	35	6	english	1,2,3,4,5,6,7,8,9	8,5,9,4,7,2,6,1,3	terrible,ok,terrible,ok,terrible,amazing,ok,amazing,amazing	ok,good,terrible,good,ok,terrible,ok,terrible,good	0.6,0.29,0.74,0.64,0.97,0.93,0.5,0.91,0.15	2,4,1,4,3,5,3,4,5	0.47,0.06,0.41,0.04,0.3,0.04,0.04,0.14,0.14	0.35,0.02,0.71,0.02,0.64,0.06,0.01,0.07,0.16	0.41,0.03,0.61,0.09,0.56,0.09,0.05,0.1,0.13	0.52,0.25,0.25,0.7,0.42,0.54,0.74,0.7,0.59	0.67,0.84,0.09,0.71,0.17,0.77,0.67,0.74,0.68	0.14,0.78,0.1,0.46,0.11,0.65,0.45,0.55,0.37	0.14,0.73,0.07,0.39,0.15,0.52,0.63,0.44,0.45
5	M	55	4	English	1,2,3,4,5,6,7,8,9	7,8,4,3,1,6,2,5,9	terrible,terrible,ok,amazing,amazing,ok,amazing,ok,terrible	good,ok,ok,terrible,bad,bad,terrible,good,bad	0.93,0.36,0.15,0.93,0.83,0.43,0.82,0.5,0.05	1,2,4,5,4,3,5,4,1	0.66,0.56,0.23,0.08,0.17,0.38,0.18,0.38,0.8	0.7,0.37,0.24,0.11,0.19,0.35,0.18,0.33,0.88	0.45,0.38,0.16,0.18,0.26,0.29,0.25,0.31,0.76	0.32,0.55,0.54,0.55,0.56,0.59,0.54,0.77,0.17	0.47,0.59,0.8,0.66,0.89,0.79,0.72,0.83,0.32	0.36,0.42,0.62,0.82,0.73,0.57,0.77,0.69,0.24	0.33,0.26,0.61,0.8,0.62,0.57,0.69,0.57,0.14
6	M	25	6	english	1,2,3,4,5,6,7,8,9	5,7,6,8,4,2,9,3,1	ok,terrible,ok,terrible,ok,amazing,terrible,amazing,amazing	ok,amazing,terrible,ok,amazing,bad,terrible,ok,bad	0.35,0.96,0.9,0.82,0.74,0.89,0.07,0.72,0.79	4,1,4,2,2,5,1,4,5	0.46,0.81,0.25,0.72,0.71,0.27,0.8,0.24,0.25	0.31,0.77,0.21,0.75,0.71,0.31,0.75,0.24,0.23	0.35,0.78,0.23,0.75,0.7,0.27,0.77,0.24,0.28	0.78,0.38,0.29,0.66,0.3,0.29,0.25,0.25,0.31	0.56,0.3,0.71,0.33,0.35,0.69,0.24,0.82,0.78	0.44,0.36,0.69,0.35,0.35,0.78,0.24,0.83,0.82	0.51,0.32,0.77,0.35,0.38,0.72,0.28,0.78,0.75
7	F	35	4	English	1,2,3,4,5,6,7,8,9	6,7,3,4,8,1,9,2,5	ok,terrible,amazing,ok,terrible,amazing,terrible,amazing,ok	terrible,bad,bad,terrible,bad,terrible,bad,terrible,amazing	1,0.11,0.92,0.31,0.19,0.7,0.09,0.85,0.61	4,2,5,3,2,4,2,4,5	0.1,0.66,0.06,0.69,0.72,0.09,0.68,0.09,0.06	0.16,0.51,0.24,0.58,0.22,0.09,0.57,0.15,0.07	0.16,0.57,0.07,0.66,0.57,0.1,0.55,0.08,0.11	0.55,0.45,0.62,0.29,0.71,0.58,0.62,0.58,0.22	0.71,0.17,0.57,0.08,0.12,0.62,0.12,0.71,0.86	0.7,0.16,0.66,0.11,0.11,0.64,0.09,0.71,0.88	0.84,0.24,0.56,0.24,0.13,0.51,0.13,0.26,0.78
8	M	25	4	English	1,2,3,4,5,6,7,8,9	5,9,6,2,8,1,7,4,3	ok,terrible,ok,amazing,terrible,amazing,terrible,ok,amazing	amazing,ok,ok,amazing,bad,terrible,bad,ok,ok	0,1,0,0.13,0.06,1,0.01,0.06,0.05	4,2,4,4,3,5,1,3,5	0.01,0.42,0.01,0,0.66,0.12,0.67,0.07,0.16	0,0.19,0,0,0.42,0.16,0.08,0.08,0.1	0.01,0.36,0,0,0.22,0.49,0.8,0.07,0	0,0.5,0.77,0.22,0.54,0.14,0.06,0.65,0.7	1,0.13,0.57,1,0,0.1,0.05,0.72,0.76	1,0.2,0.28,0.86,0,0.13,0.06,0.29,0.79	1,0.27,0.47,0.88,0,0.12,0.06,0.29,0.51
9	M	35	4	english	1,2,3,4,5,6,7,8,9	6,4,9,1,2,7,3,8,5	ok,ok,terrible,amazing,amazing,terrible,amazing,terrible,ok	good,ok,amazing,bad,amazing,terrible,terrible,good,ok	0,0,1,1,0,0,1,1,0	4,3,1,5,5,1,5,1,3	0.01,0.01,0,0,0.01,0.49,0.02,0.48,0.02	0.01,0,0.01,0.01,0,1,0.01,0.98,0	0.01,0,0.01,0.01,0,0.49,0,0.47,0.02	0.5,1,0,1,0.5,0,0.48,0.03,1	0.97,1,0.01,0.99,1,0.01,1,0,1	0.98,0.51,0,1,1,0,1,0.01,0.01	1,0.51,0.02,1,1,0.02,1,0,0.01
10	F	35	6	English	1,2,3,4,5,6,7,8,9	3,8,5,6,1,4,9,7,2	amazing,terrible,ok,ok,amazing,ok,terrible,terrible,amazing	good,amazing,good,good,good,terrible,ok,good,ok	0,0.86,0.12,0.04,0.07,0.14,0.72,0.95,0.86	4,2,4,4,5,1,2,1,5	0.01,0.84,0.02,0.01,0.01,1,0.59,0.62,0.01	0.02,0.89,0.04,0.04,0.03,1,0.41,0.53,0.01	0,0.86,0.04,0.03,0.04,0.98,0.31,0.74,0.01	0.49,0.52,0.44,0.51,0.47,0.17,0.68,0.71,0.15	0.98,0.07,0.99,0.97,0.98,0.01,0.46,0.32,0.93	0.99,0.21,0.93,0.91,0.97,0.02,0.35,0.27,0.87	0.97,0.13,0.97,0.93,0.99,0,0.46,0.39,0.91
