"hitid"	"hittypeid"	"title"	"description"	"keywords"	"reward"	"creationtime"	"assignments"	"numavailable"	"numpending"	"numcomplete"	"hitstatus"	"reviewstatus"	"annotation"	"assignmentduration"	"autoapprovaldelay"	"hitlifetime"	"viewhit"	"assignmentid"	"workerid"	"assignmentstatus"	"autoapprovaltime"	"assignmentaccepttime"	"assignmentsubmittime"	"assignmentapprovaltime"	"assignmentrejecttime"	"deadline"	"feedback"	"reject"	"Answer.condition"	"Answer.imageIDs"	"Answer.imageCategories"	"Answer.utterances"	"Answer.stateRatings"	"Answer.probsSad"	"Answer.probsDisgusted"	"Answer.probsAngry"	"Answer.probsNeutral"	"Answer.probsContent"	"Answer.probsHappy"	"Answer.probsExcited"	"Answer.orders"	"Answer.gender"	"Answer.age"	"Answer.income"	"Answer.nativeLanguage"	"Answer.comments"
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3ZSANO2JCF8SPPWYVY3004W3M6GFSA"	1	"Approved"	"Mon Dec 22 22:48:44 PST 2014"	"Mon Dec 22 06:05:41 PST 2014"	"Mon Dec 22 06:08:44 PST 2014"	"Mon Dec 22 22:51:52 PST 2014"	""	""	""	""	"1"	"[2,1,4,9,7,5,8,3,6]"	"[""amazing"",""amazing"",""ok"",""terrible"",""terrible"",""ok"",""terrible"",""amazing"",""ok""]"	"[""terrible"",""amazing"",""amazing"",""terrible"",""good"",""amazing"",""bad"",""bad"",""bad""]"	"[""1"",""5"",""5"",""1"",""4"",""5"",""2"",""2"",""2""]"	"[0.94,0.05,0.05,0.88,0.01,0.03,0.98,1,1]"	"[0.93,0,0.03,0.99,0.14,0.03,0.99,0.99,0.98]"	"[0.93,0.03,0.04,0.89,0.08,0.04,0.98,0.99,0.98]"	"[0.06,0.03,0.05,0.03,0.81,0.04,0.01,0,0.02]"	"[0.07,0.95,0.86,0.02,0.97,0.9,0.01,0.01,0.02]"	"[0.06,0.98,0.8,0.03,0.56,0.91,0.03,0.01,0.03]"	"[0.06,0.95,0.86,0.02,0.57,0.88,0.03,0.01,0.01]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""25"""	"""4"""	"""English"""	""""""
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3SB5N7Y3O35Y2G8HXGQY8JQWSTY0G8"	2	"Approved"	"Mon Dec 22 22:49:03 PST 2014"	"Mon Dec 22 06:05:35 PST 2014"	"Mon Dec 22 06:09:03 PST 2014"	"Mon Dec 22 22:51:52 PST 2014"	""	""	""	""	"1"	"[4,3,7,2,1,9,6,5,8]"	"[""ok"",""amazing"",""terrible"",""amazing"",""amazing"",""terrible"",""ok"",""ok"",""terrible""]"	"[""amazing"",""terrible"",""good"",""ok"",""terrible"",""bad"",""bad"",""ok"",""good""]"	"[""5"",""1"",""4"",""3"",""1"",""2"",""2"",""3"",""4""]"	"[0,0.77,0,0,0.61,0.46,0.44,0,0]"	"[0,0.47,0,0,0.16,0.45,0.46,0,0]"	"[0,0.52,0,0,0.34,0.22,0.46,0,0]"	"[0,0.06,0.18,0.87,0.26,0.25,0.2,0.95,0.34]"	"[0.48,0,0.52,0.45,0,0,0,0.45,0.72]"	"[0.96,0,0.57,0.24,0,0,0,0.44,0.53]"	"[0.88,0,0.46,0.08,0,0,0,0.18,0.27]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""35"""	"""8"""	"""English"""	""""""
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3ZAZR5XV01JINPY2ZO77OR83C8NZCN"	3	"Approved"	"Mon Dec 22 22:55:18 PST 2014"	"Mon Dec 22 06:06:02 PST 2014"	"Mon Dec 22 06:15:18 PST 2014"	"Mon Dec 22 22:56:51 PST 2014"	""	""	""	""	"1"	"[2,3,4,8,5,7,6,1,9]"	"[""amazing"",""amazing"",""ok"",""terrible"",""ok"",""terrible"",""ok"",""amazing"",""terrible""]"	"[""good"",""terrible"",""ok"",""bad"",""good"",""good"",""terrible"",""amazing"",""amazing""]"	"[""4"",""1"",""3"",""2"",""4"",""4"",""1"",""5"",""5""]"	"[0.01,0.03,0.16,0.05,0.04,0.02,0.1,0.01,0.01]"	"[0.01,0.01,0.01,0.01,0,0.02,0.04,0.02,0.01]"	"[0.02,0.02,0.03,0.01,0.02,0.01,0.05,0.01,0.01]"	"[0.97,0.05,0.49,0.07,0.43,0.09,0.05,0.03,0.03]"	"[0.78,0.08,0.45,0.06,0.28,0.3,0.05,0.72,0.48]"	"[0.55,0.09,0.15,0.06,0.22,0.2,0.05,0.67,0.33]"	"[0.54,0.03,0.09,0.05,0.11,0.29,0.04,0.57,0.2]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""45"""	"""6"""	"""English"""	"""Hello,\n\nThank you for the opportunity to participate in your study. I took it seriously, and answered honestly. \n\nHope that your research goes well. \n\nHave a great day!\n\n"""
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3PWWM24LHSZQ5B5DT5IOZU2D18428D"	4	"Approved"	"Mon Dec 22 22:57:51 PST 2014"	"Mon Dec 22 06:06:08 PST 2014"	"Mon Dec 22 06:17:51 PST 2014"	"Mon Dec 22 23:01:54 PST 2014"	""	""	""	""	"1"	"[1,9,4,7,2,6,3,5,8]"	"[""amazing"",""terrible"",""ok"",""terrible"",""amazing"",""ok"",""amazing"",""ok"",""terrible""]"	"[""ok"",""good"",""amazing"",""ok"",""bad"",""bad"",""good"",""good"",""amazing""]"	"[""5"",""2"",""3"",""3"",""2"",""2"",""4"",""4"",""5""]"	"[0.07,0.05,0.06,0.13,0.41,0.09,0.08,0.05,0.07]"	"[0.12,0.07,0.14,0.02,0.66,0.51,0.08,0.07,0.05]"	"[0.05,0.01,0.09,0.17,0.32,0.69,0.11,0.1,0.04]"	"[0.54,0.54,0.57,0.48,0.31,0.38,0.51,0.45,0.48]"	"[0.29,0.54,0.81,0.28,0.1,0.13,0.74,0.65,0.84]"	"[0.3,0.52,0.8,0.36,0.24,0.03,0.67,0.79,0.89]"	"[0.27,0.47,0.75,0.11,0.03,0.08,0.62,0.7,0.92]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""45"""	"""8"""	"""English"""	""""""
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3R9WASFE2ZHPQ1ICQQX8WXT69LFZFY"	5	"Approved"	"Mon Dec 22 23:03:33 PST 2014"	"Mon Dec 22 06:06:45 PST 2014"	"Mon Dec 22 06:23:33 PST 2014"	"Mon Dec 22 23:06:52 PST 2014"	""	""	""	""	"1"	"[1,3,7,9,2,4,8,6,5]"	"[""amazing"",""amazing"",""terrible"",""terrible"",""amazing"",""ok"",""terrible"",""ok"",""ok""]"	"[""ok"",""ok"",""good"",""ok"",""ok"",""ok"",""ok"",""bad"",""terrible""]"	"[""4"",""4"",""4"",""2"",""4"",""4"",""4"",""2"",""1""]"	"[0,0,0.03,0.13,0.02,0.06,0,0.43,0.67]"	"[0.01,0.01,0.05,0.11,0,0.04,0.01,0.34,0.57]"	"[0.02,0,0.06,0.16,0.01,0.02,0.02,0.2,0.6]"	"[0.2,0.11,0.2,0.23,0.1,0.37,0.46,0.24,0.29]"	"[0.69,0.72,0.4,0.51,0.65,0.36,0.47,0.31,0.12]"	"[0.78,0.78,0.77,0.49,0.84,0.56,0.79,0.19,0.17]"	"[0.77,0.74,0.59,0.46,0.66,0.37,0.47,0.18,0.1]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""35"""	"""4"""	"""english"""	"""Thanks"""
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"336KAV9KYQT5KHWV69GIY7QFUN82YS"	6	"Approved"	"Mon Dec 22 23:08:57 PST 2014"	"Mon Dec 22 06:05:47 PST 2014"	"Mon Dec 22 06:28:57 PST 2014"	"Mon Dec 22 23:11:53 PST 2014"	""	""	""	""	"1"	"[2,8,7,3,9,4,5,1,6]"	"[""amazing"",""terrible"",""terrible"",""amazing"",""terrible"",""ok"",""ok"",""amazing"",""ok""]"	"[""terrible"",""ok"",""bad"",""amazing"",""amazing"",""good"",""terrible"",""good"",""amazing""]"	"[""2"",""3"",""4"",""5"",""1"",""4"",""2"",""4"",""3""]"	"[0.05,0.55,0.69,0.02,0.67,0.03,0.04,0.01,0.06]"	"[0.07,0.38,0.84,0.04,0.72,0.09,0.2,0.03,0.06]"	"[0.02,0.03,0.01,0.04,0.18,0.03,0.02,0,0.03]"	"[0.2,0.52,0.03,0,0.04,0.78,0.72,0.03,0.03]"	"[0.51,0.06,0.06,0.91,0.21,0.49,0.56,0.81,0.87]"	"[0.81,0.22,0.02,0.9,0.09,0.43,0.19,0.72,0.52]"	"[0.74,0.04,0.04,0.93,0.07,0.26,0.09,0.42,0.14]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""35"""	"""6"""	"""english"""	""""""
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3ON104KXQKXBYQGIVMHI6P2X3T34WQ"	7	"Approved"	"Mon Dec 22 23:09:57 PST 2014"	"Mon Dec 22 06:05:50 PST 2014"	"Mon Dec 22 06:29:57 PST 2014"	"Mon Dec 22 23:11:53 PST 2014"	""	""	""	""	"1"	"[5,2,6,7,3,9,1,4,8]"	"[""ok"",""amazing"",""ok"",""terrible"",""amazing"",""terrible"",""amazing"",""ok"",""terrible""]"	"[""good"",""bad"",""bad"",""bad"",""amazing"",""amazing"",""ok"",""ok"",""amazing""]"	"[""4"",""2"",""2"",""2"",""5"",""5"",""3"",""3"",""5""]"	"[0,0.65,0.79,0.98,0.05,0.12,0.17,0.1,0.02]"	"[0.01,0.67,0.36,0.64,0.03,0.1,0.01,0.08,0.1]"	"[0.06,0.6,0.37,0.42,0.13,0.01,0.05,0.15,0.1]"	"[0.63,0.49,0.4,0.07,0.32,0.5,0.89,0.9,0.48]"	"[0.6,0.09,0.18,0.04,0.5,0.14,0.55,0.71,0.54]"	"[0.79,0.1,0.12,0.01,0.98,1,0.29,0.1,0.92]"	"[0.42,0.17,0.15,0.01,0.92,0.88,0.25,0.26,0.69]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""35"""	"""4"""	"""English"""	""""""
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3ZDAD0O1T1EA4B0YKSECGGSWSUQXT8"	8	"Approved"	"Mon Dec 22 23:21:35 PST 2014"	"Mon Dec 22 06:05:47 PST 2014"	"Mon Dec 22 06:41:35 PST 2014"	"Mon Dec 22 23:21:51 PST 2014"	""	""	""	""	"1"	"[9,4,2,6,7,8,1,5,3]"	"[""terrible"",""ok"",""amazing"",""ok"",""terrible"",""terrible"",""amazing"",""ok"",""amazing""]"	"[""good"",""amazing"",""ok"",""amazing"",""good"",""good"",""good"",""good"",""good""]"	"[""4"",""5"",""4"",""5"",""4"",""4"",""4"",""4"",""4""]"	"[0.24,0.07,0.11,0.09,0.41,0.32,0.11,0.13,0.08]"	"[0.25,0.08,0.15,0.12,0.44,0.34,0.72,0.13,0.13]"	"[0.25,0.08,0.14,0.08,0.42,0.34,0.09,0.13,0.12]"	"[0.12,0.07,0.57,0.07,0.48,0.3,0.18,0.49,0.15]"	"[0.72,0.86,0.69,0.83,0.61,0.69,0.78,0.66,0.84]"	"[0.72,0.86,0.69,0.82,0.63,0.69,0.77,0.65,0.83]"	"[0.75,0.9,0.62,0.85,0.51,0.56,null,0.67,0.74]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""65"""	"""4"""	"""English"""	""""""
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3O7L7BFSHEQBPXT6VBPGEK5G17ZIE3"	9	"Approved"	"Mon Dec 22 23:30:16 PST 2014"	"Mon Dec 22 06:06:10 PST 2014"	"Mon Dec 22 06:50:16 PST 2014"	"Mon Dec 22 23:31:52 PST 2014"	""	""	""	""	"1"	"[9,2,7,1,3,8,6,4,5]"	"[""terrible"",""amazing"",""terrible"",""amazing"",""amazing"",""terrible"",""ok"",""ok"",""ok""]"	"[""amazing"",""bad"",""amazing"",""good"",""terrible"",""bad"",""ok"",""ok"",""ok""]"	"[""1"",""2"",""2"",""4"",""3"",""2"",""4"",""3"",""4""]"	"[0.77,0.41,0.58,0.11,0.32,0.65,0.09,0.16,0.12]"	"[0.22,0.28,0.41,0.03,0.19,0.54,0.09,0.1,0.08]"	"[0.8,0.8,0.51,0.1,0.38,0.51,0.14,0.13,0.1]"	"[0.04,0.59,0.41,0.33,0.56,0.31,0.41,0.84,0.67]"	"[0.11,0.5,0.45,0.93,0.54,0.28,0.46,0.38,0.66]"	"[0.13,0.42,0.18,0.7,0.29,0.24,0.49,0.41,0.58]"	"[0.42,0.51,0.67,0.55,0.27,0.13,0.21,0.25,0.25]"	"[1,2,3,4,5,6,7,8,9]"	"""M"""	"""55"""	"""6"""	"""English"""	"""Thanks, this was interesting!"""
"3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3RDTAMZS73SN2DPI3IFKDTAAHI0GX3"	"Fun experiment about the weather!"	"Read scenarios about the weather and answer questions about them. This should take around 8-10 minutes."	"weather,behavior,survey,psychology,estimate,experiment,language"	"$0.90"	"Mon Dec 22 06:04:42 PST 2014"	"40"	"0"	"0"	"19"	"Reviewable"	"NotReviewed"	"1 1"	"3600"	"60000"	"Mon Jan 05 16:51:59 PST 2015"	"http://requester.mturk.com/mturk/manageHIT?HITId=3D1TUISJWI1PR9SZU9ZKTIWWY64UIR"	"3SLE99ER0NEZDK6WLOBCD72LUNNZBG"	10	"Approved"	"Mon Dec 22 23:32:23 PST 2014"	"Mon Dec 22 06:05:49 PST 2014"	"Mon Dec 22 06:52:23 PST 2014"	"Mon Dec 22 23:36:52 PST 2014"	""	""	""	""	"1"	"[4,9,7,5,8,3,6,2,1]"	"[""ok"",""terrible"",""terrible"",""ok"",""terrible"",""amazing"",""ok"",""amazing"",""amazing""]"	"[""good"",""ok"",""good"",""terrible"",""ok"",""amazing"",""good"",""amazing"",""good""]"	"[""4"",""1"",""1"",""4"",""2"",""5"",""4"",""5"",""5""]"	"[0.07,0.8,0.06,0.04,0.54,0.02,0.07,0.74,0.01]"	"[0.05,0.53,0.91,0.02,0.14,0.04,0.04,0.04,0.02]"	"[0.07,0.53,0.92,0.04,0.15,0.02,0.16,0.06,0]"	"[0.45,0.53,0.58,0.55,0.55,0.05,0.06,0.49,0.59]"	"[0.61,0.1,0.05,0.54,0.14,0.95,0.51,0.71,0.86]"	"[0.59,0.11,0.07,0.55,0.15,0.9,0.48,0.88,0.84]"	"[0.6,0.1,0.07,0.53,0.16,0.92,0.49,0.91,0.87]"	"[1,2,3,4,5,6,7,8,9]"	"""F"""	"""65"""	"""6"""	"""English"""	"""It was rather confusing.  Some of the pictures were totally opposite of what the person said.  """
