workerID,gender,age,income,language,order,imageID,imageCategory,stateRating,sad,disgusted,angry,neutral,content,happy,excited
1,F,25,6,english,1,5,ok,4,0.29,0.12,0,0.46,0.73,0.74,0.36
1,F,25,6,english,2,6,ok,3,0.1,0.31,0.02,0.83,0.77,0.63,0.33
1,F,25,6,english,3,3,amazing,5,0.01,0,0,0.09,0.49,0.84,0.84
1,F,25,6,english,4,7,terrible,2,0.48,0.74,0.36,0.65,0.09,0.29,0.62
1,F,25,6,english,5,9,terrible,1,0.49,0.62,0.64,0.74,0.45,0.53,0.16
1,F,25,6,english,6,4,ok,3,0.51,0.1,0.19,0.69,0.61,0.61,0.21
1,F,25,6,english,7,2,amazing,5,0,0,0.69,0.41,0,0.64,0.43
1,F,25,6,english,8,1,amazing,4,0,0,0.02,0.25,0.62,0.81,0.57
1,F,25,6,english,9,8,terrible,2,0.37,0.29,0.2,0.53,0.54,0.14,0.27
2,F,35,6,English,1,7,terrible,2,0.55,0.27,0.75,0.31,0.04,0.05,0.25
2,F,35,6,English,2,8,terrible,4,0.03,0.03,0.09,0.27,0.64,0.58,0.51
2,F,35,6,English,3,3,amazing,5,0.01,0,0.02,0.01,0.87,0.93,0.97
2,F,35,6,English,4,4,ok,3,0.02,0.06,0.31,0.71,0.58,0.68,0.49
2,F,35,6,English,5,6,ok,4,0.02,0.02,0.04,0.31,0.86,0.83,0.42
2,F,35,6,English,6,9,terrible,2,0.82,0.17,0.48,0.23,0.13,0.13,0.17
2,F,35,6,English,7,1,amazing,5,0.07,0.01,0.01,0.38,0.88,0.9,0.8
2,F,35,6,English,8,5,ok,4,0,0.02,0.05,0.29,0.68,0.8,0.44
2,F,35,6,English,9,2,amazing,5,0.03,0.02,0,0.23,0.94,0.96,0.88
3,M,25,4,English,1,3,amazing,5,0.06,0.04,0.03,0.57,0.79,0.84,0.69
3,M,25,4,English,2,6,ok,4,0.14,0,0.01,0.47,0.48,0.67,0.47
3,M,25,4,English,3,4,ok,3,0.06,0,0.01,0.36,0.44,0.65,0.17
3,M,25,4,English,4,8,terrible,2,0.31,0,0.04,0.48,0.48,0.52,0.11
3,M,25,4,English,5,2,amazing,5,0.04,0.02,0.01,0.16,0.47,0.59,0.78
3,M,25,4,English,6,5,ok,4,0,0.01,0.01,0.21,0.13,0.64,0.52
3,M,25,4,English,7,1,amazing,5,0.04,0.02,0.01,0.31,0.26,0.65,0.55
3,M,25,4,English,8,7,terrible,1,0.37,0.19,0.17,0.19,0.22,0.24,0.12
3,M,25,4,English,9,9,terrible,1,0.54,0.28,0.2,0.04,0.06,0.46,0.24
4,M,45,11,english,1,7,terrible,1,0.84,0.71,0.47,0.16,0.98,0.03,0.21
4,M,45,11,english,2,6,ok,4,0.12,0.05,0.11,0.19,0.98,0.81,0.75
4,M,45,11,english,3,4,ok,4,0.1,0.1,0.04,0.53,0.92,0.62,0.76
4,M,45,11,english,4,5,ok,4,0.04,0.06,0.12,0.51,0.92,0.82,0.75
4,M,45,11,english,5,9,terrible,1,0.71,0.78,0.83,0.18,0.25,0.08,0.25
4,M,45,11,english,6,1,amazing,5,0.04,0.03,0.03,0.17,0.96,0.94,0.96
4,M,45,11,english,7,2,amazing,5,0.1,0.03,0.02,0.17,0.89,0.87,0.73
4,M,45,11,english,8,8,terrible,3,0.57,0.4,0.34,0.86,0.52,0.29,0.35
4,M,45,11,english,9,3,amazing,5,0.02,0.01,0.02,0.2,0.95,0.97,0.97
5,M,35,4,English,1,9,terrible,1,0.86,0.86,0.85,0.18,0.07,0.1,0.49
5,M,35,4,English,2,5,ok,5,0.02,0.02,0.01,0.49,0.98,1,0.88
5,M,35,4,English,3,6,ok,4,0,0.01,0.01,0.45,1,1,0.45
5,M,35,4,English,4,4,ok,3,0.49,0.49,0.49,0.51,0.48,0.48,0.49
5,M,35,4,English,5,1,amazing,5,0,0,0.01,0.52,1,1,0.88
5,M,35,4,English,6,3,amazing,5,0,0,0,0.51,1,1,1
5,M,35,4,English,7,8,terrible,2,0.67,0.67,0.66,0.51,0.27,0.12,0.67
5,M,35,4,English,8,2,amazing,5,0,0,0,0.52,1,1,1
5,M,35,4,English,9,7,terrible,1,0.99,1,0.99,0.02,0,0.01,0.71
7,M,35,4,English,1,8,terrible,2,0.54,0.11,0.52,0.54,0.35,0.35,0.25
7,M,35,4,English,2,5,ok,4,0.28,0.06,0.28,0.41,0.52,0.53,0.53
7,M,35,4,English,3,1,amazing,4,0.3,0.14,0.29,0.39,0.51,0.54,0.53
7,M,35,4,English,4,3,amazing,5,0.11,0.02,0.24,0.4,0.77,0.81,0.78
7,M,35,4,English,5,2,amazing,4,0.16,0.07,0.24,0.41,0.64,0.64,0.63
7,M,35,4,English,6,4,ok,3,0.43,0.08,0.37,0.57,0.4,0.35,0.3
7,M,35,4,English,7,9,terrible,2,0.45,0.18,0.48,0.44,0.35,0.38,0.32
7,M,35,4,English,8,6,ok,3,0.24,0.05,0.28,0.45,0.47,0.45,0.47
7,M,35,4,English,9,7,terrible,1,0.62,0.19,0.64,0.22,0.21,0.25,0.24
8,M,55,11,english,1,5,ok,4,0.25,0.25,0.24,0.21,0.52,0.7,0.7
8,M,55,11,english,2,6,ok,5,0.28,0.26,0.29,0.51,0.6,0.72,0.61
8,M,55,11,english,3,4,ok,3,0.47,0.26,0.23,0.68,0.67,0.52,0.36
8,M,55,11,english,4,3,amazing,5,0.3,0.36,0.32,0.34,0.56,0.84,0.75
8,M,55,11,english,5,8,terrible,2,0.68,0.32,0.53,0.37,0.35,0.43,0.28
8,M,55,11,english,6,7,terrible,1,0.58,0.29,0.67,0.44,0.3,0.32,0.37
8,M,55,11,english,7,1,amazing,5,0.36,0.34,0.35,0.46,0.64,0.65,0.68
8,M,55,11,english,8,9,terrible,1,0.83,0.52,0.73,0.32,0.28,0.33,0.27
8,M,55,11,english,9,2,amazing,5,0.18,0.31,0.39,0.31,0.63,0.67,0.68
9,M,35,4,English,1,8,terrible,4,0.5,0.2,0.06,0.51,0.82,0.25,0.32
9,M,35,4,English,2,3,amazing,5,0.17,0.05,0.09,0.1,0.83,0.96,0.74
9,M,35,4,English,3,7,terrible,2,0.35,0.5,0.16,0.56,0.29,0.31,0.41
9,M,35,4,English,4,1,amazing,5,0.1,0.07,0.06,0.1,0.51,0.73,0.39
9,M,35,4,English,5,6,ok,4,0.08,0.06,0.03,0.33,0.57,0.63,0.22
9,M,35,4,English,6,4,ok,3,0.08,0.34,0.04,0.53,0.48,0.45,0.19
9,M,35,4,English,7,9,terrible,1,0.63,0.54,0.27,0.31,0.21,0.16,0.2
9,M,35,4,English,8,5,ok,3,0.08,0.21,0.08,0.66,0.29,0.26,0.09
9,M,35,4,English,9,2,amazing,5,0.02,0.22,0.04,0.12,0.42,0.85,0.78
10,F,35,6,english,1,7,terrible,2,0.4,0.06,0.29,0.19,0.41,0.26,0.61
10,F,35,6,english,2,1,amazing,5,0.65,0.02,0.17,0.55,0.79,0.77,0.65
10,F,35,6,english,3,4,ok,3,0.22,0.07,0.22,0.86,0.48,0.22,0.19
10,F,35,6,english,4,9,terrible,2,0.31,0.52,0.16,0.45,0.23,0.08,0.25
10,F,35,6,english,5,5,ok,4,0.08,0.09,0.1,0.75,0.58,0.11,0.23
10,F,35,6,english,6,6,ok,4,0.14,0.05,0.1,0.46,0.53,0.37,0.65
10,F,35,6,english,7,3,amazing,5,0.14,0.03,0.08,0.38,0.63,0.68,0.77
10,F,35,6,english,8,2,amazing,5,0.1,0.02,0.05,0.52,0.7,0.78,0.77
10,F,35,6,english,9,8,terrible,2,0.52,0.31,0.21,0.38,0.24,0.07,0.08
11,M,35,4,English,1,2,amazing,5,0.03,0.03,0.01,0.28,0.16,0.83,0.83
11,M,35,4,English,2,4,ok,3,0.31,0.17,0.24,0.51,0.24,0.36,0.34
11,M,35,4,English,3,1,amazing,5,0.05,0.01,0.04,0.15,0.22,0.91,0.8
11,M,35,4,English,4,3,amazing,5,0.09,0.06,0.05,0.1,0.15,0.92,0.79
11,M,35,4,English,5,6,ok,4,0.08,0.14,0.12,0.29,0.41,0.67,0.53
