workerid,animal,qud,metaphor,featureNum,featureProb
0,bat,Specific,Metaphor,1,0.625
0,fox,Vague,Metaphor,1,1
0,horse,Specific,Literal,1,1
0,kangaroo,Specific,Metaphor,1,1
0,bee,Vague,Metaphor,1,0.675
0,ox,Vague,Literal,1,1
0,dog,Vague,Literal,1,1
0,buffalo,Specific,Metaphor,1,1
0,wolf,Vague,Metaphor,1,0.45
0,sheep,Specific,Metaphor,1,0.575
0,ant,Vague,Metaphor,1,0.3
0,bird,Vague,Literal,1,0.975
0,monkey,Vague,Metaphor,1,0.15
0,cow,Specific,Metaphor,1,1
0,shark,Vague,Literal,1,1
0,zebra,Specific,Literal,1,1
0,frog,Vague,Literal,1,1
0,duck,Vague,Literal,1,1
0,cat,Specific,Literal,1,1
0,tiger,Specific,Metaphor,1,0
0,dolphin,Specific,Literal,1,1
0,lion,Vague,Metaphor,1,0.425
0,rabbit,Specific,Literal,1,1
0,fish,Specific,Metaphor,1,0.875
0,elephant,Specific,Literal,1,0.975
0,penguin,Vague,Literal,1,1
0,whale,Vague,Literal,1,1
0,goat,Vague,Metaphor,1,0.5
0,pig,Specific,Literal,1,1
0,bear,Specific,Metaphor,1,0.4
0,goose,Specific,Literal,1,1
0,owl,Vague,Metaphor,1,0.775
1,wolf,Specific,Metaphor,1,0.675
1,shark,Vague,Literal,1,1
1,ox,Vague,Literal,1,1
1,horse,Vague,Metaphor,1,1
1,buffalo,Vague,Metaphor,1,0.9
1,zebra,Specific,Literal,1,1
1,owl,Specific,Metaphor,1,1
1,elephant,Specific,Literal,1,1
1,sheep,Specific,Literal,1,1
1,bee,Vague,Literal,1,1
1,cow,Vague,Metaphor,1,1
1,cat,Specific,Literal,1,1
1,frog,Specific,Metaphor,1,1
1,penguin,Vague,Metaphor,1,0.7
1,duck,Vague,Metaphor,1,0.7
1,bird,Specific,Metaphor,1,0.325
1,monkey,Vague,Literal,1,1
1,lion,Vague,Metaphor,1,0.575
1,pig,Vague,Literal,1,1
1,whale,Specific,Metaphor,1,1
1,rabbit,Vague,Literal,1,1
1,bear,Specific,Literal,1,1
1,kangaroo,Specific,Literal,1,1
1,goat,Vague,Metaphor,1,0.325
1,bat,Vague,Literal,1,1
1,fox,Specific,Literal,1,1
1,ant,Specific,Metaphor,1,1
1,tiger,Specific,Literal,1,1
1,goose,Specific,Metaphor,1,0.8
1,dog,Vague,Metaphor,1,1
1,dolphin,Vague,Literal,1,1
1,fish,Specific,Metaphor,1,1
2,whale,Vague,Metaphor,1,0.85
2,rabbit,Vague,Metaphor,1,0.775
2,cat,Vague,Literal,1,0.625
2,goose,Vague,Metaphor,1,0.725
2,penguin,Specific,Metaphor,1,0.7
2,pig,Specific,Metaphor,1,0.85
2,owl,Specific,Literal,1,0.775
2,bird,Specific,Metaphor,1,0.625
2,bear,Vague,Metaphor,1,0.625
2,tiger,Specific,Metaphor,1,0.8
2,sheep,Specific,Literal,1,0.825
2,wolf,Vague,Literal,1,0.875
2,zebra,Specific,Metaphor,1,0.825
2,goat,Vague,Metaphor,1,0.55
2,fox,Specific,Literal,1,0.7
2,fish,Specific,Literal,1,0.55
2,kangaroo,Specific,Literal,1,0.675
2,dolphin,Vague,Metaphor,1,0.825
2,dog,Vague,Metaphor,1,0.725
2,cow,Vague,Literal,1,0.75
2,bat,Specific,Literal,1,0.725
2,ox,Vague,Literal,1,0.85
2,duck,Vague,Literal,1,0.8
2,frog,Vague,Literal,1,0.6
2,horse,Specific,Metaphor,1,0.75
2,lion,Vague,Literal,1,0.875
2,elephant,Vague,Metaphor,1,0.8
2,monkey,Specific,Metaphor,1,0.725
2,bee,Specific,Metaphor,1,0.775
2,buffalo,Vague,Literal,1,0.8
2,ant,Specific,Literal,1,0.725
2,shark,Specific,Literal,1,0.8
3,bear,Specific,Literal,1,0.9
3,elephant,Specific,Metaphor,1,0.95
3,bird,Vague,Metaphor,1,0.95
3,wolf,Specific,Literal,1,0.95
3,horse,Specific,Literal,1,0.925
3,bat,Vague,Metaphor,1,0.575
3,penguin,Vague,Literal,1,0.5
3,fish,Vague,Literal,1,0.575
3,lion,Vague,Literal,1,0.95
3,owl,Specific,Literal,1,0.95
3,kangaroo,Vague,Literal,1,0.55
3,dog,Vague,Literal,1,0.95
3,shark,Specific,Literal,1,0.925
3,goat,Specific,Metaphor,1,0.55
3,whale,Vague,Metaphor,1,0.925
3,frog,Specific,Metaphor,1,0.675
