categoryID,type,featureSetNum,animal,normalizedProb,sd,se,ci
1,animal,1,ant,0.374578056,0.221313539,0.039123076,0.07979204
1,animal,2,ant,0.119876777,0.121543259,0.021486016,0.043821018
1,animal,3,ant,0.161596684,0.118021375,0.020863429,0.042551243
1,animal,4,ant,0.113711235,0.109597003,0.019374196,0.039513933
1,animal,5,ant,0.091949097,0.102771262,0.018167564,0.037052991
1,animal,6,ant,0.044477118,0.062972521,0.011132074,0.022704015
1,animal,7,ant,0.058055321,0.07576625,0.013393707,0.027316646
1,animal,8,ant,0.035755713,0.054574887,0.009647568,0.019676345
1,person,1,ant,0.12398633,0.040907621,0.007231514,0.01474877
1,person,2,ant,0.114271313,0.049937473,0.008827782,0.018004379
1,person,3,ant,0.107361805,0.044517092,0.007869584,0.016050123
1,person,4,ant,0.110744221,0.04289553,0.00758293,0.015465488
1,person,5,ant,0.142268083,0.038126382,0.006739856,0.013746027
1,person,6,ant,0.140582979,0.041715589,0.007374344,0.015040074
1,person,7,ant,0.12733989,0.038385207,0.00678561,0.013839343
1,person,8,ant,0.13344538,0.035527276,0.006280394,0.012808949
2,animal,1,bat,0.279501381,0.128988119,0.024376463,0.050016371
2,animal,2,bat,0.060356026,0.084460598,0.015961553,0.032750401
2,animal,3,bat,0.150178407,0.122501834,0.023150671,0.047501252
2,animal,4,bat,0.056694265,0.08660032,0.016365922,0.033580098
2,animal,5,bat,0.232839632,0.145559807,0.027508218,0.056442201
2,animal,6,bat,0.055331226,0.071291083,0.013472748,0.027643796
2,animal,7,bat,0.121391983,0.120456036,0.022764051,0.046707975
2,animal,8,bat,0.043707079,0.068712755,0.01298549,0.026644025
2,person,1,bat,0.069749834,0.07388629,0.013963196,0.028650112
2,person,2,bat,0.105899995,0.07508389,0.014189521,0.029114493
2,person,3,bat,0.118536197,0.082954781,0.01567698,0.032166506
2,person,4,bat,0.160782144,0.089487089,0.01691147,0.034699471
2,person,5,bat,0.100624078,0.078507013,0.014836431,0.030441842
2,person,6,bat,0.139491317,0.089938577,0.016996793,0.034874539
2,person,7,bat,0.113364979,0.073467662,0.013884083,0.028487786
2,person,8,bat,0.191551456,0.110788232,0.020937008,0.042959192
3,animal,1,bear,0.258178931,0.12861892,0.022736828,0.046372066
3,animal,2,bear,0.136880479,0.102423772,0.018106136,0.036927708
3,animal,3,bear,0.160603865,0.126725056,0.022402037,0.045689255
3,animal,4,bear,0.100286864,0.086801379,0.015344461,0.031295235
3,animal,5,bear,0.126645743,0.104758757,0.018518907,0.037769559
3,animal,6,bear,0.086643833,0.086720238,0.015330117,0.03126598
3,animal,7,bear,0.066544568,0.069541382,0.012293296,0.025072342
3,animal,8,bear,0.064215717,0.060003629,0.010607243,0.021633615
3,person,1,bear,0.129418534,0.046414172,0.008204944,0.016734093
3,person,2,bear,0.141700151,0.048501132,0.00857387,0.017486523
3,person,3,bear,0.114311578,0.058703245,0.010377366,0.021164777
3,person,4,bear,0.106888596,0.041983028,0.007421621,0.015136496
3,person,5,bear,0.121793234,0.04180562,0.007390259,0.015072533
3,person,6,bear,0.140160697,0.048810137,0.008628495,0.017597931
3,person,7,bear,0.114153752,0.05098353,0.0090127,0.018381523
3,person,8,bear,0.131573457,0.053374067,0.009435291,0.019243403
4,animal,1,bee,0.213548701,0.097635094,0.017825648,0.036457543
4,animal,2,bee,0.214755507,0.103697383,0.018932465,0.038721239
4,animal,3,bee,0.129641161,0.09973997,0.018209944,0.037243517
4,animal,4,bee,0.133754029,0.099537882,0.018173048,0.037168056
4,animal,5,bee,0.100079249,0.085844026,0.015672903,0.032054686
4,animal,6,bee,0.105464886,0.092946598,0.016969649,0.03470683
4,animal,7,bee,0.05043347,0.06119606,0.011172821,0.022850984
4,animal,8,bee,0.052322998,0.058281673,0.010640729,0.021762734
4,person,1,bee,0.123279322,0.042611427,0.007779747,0.015911368
4,person,2,bee,0.135321525,0.048922127,0.008931918,0.018267823
4,person,3,bee,0.138266439,0.047217496,0.008620696,0.017631303
4,person,4,bee,0.147900663,0.1181467,0.021570538,0.044116703
4,person,5,bee,0.092047963,0.046584541,0.008505135,0.017394954
4,person,6,bee,0.12525293,0.043612686,0.007962551,0.016285245
4,person,7,bee,0.111263552,0.047257094,0.008627925,0.017646089
4,person,8,bee,0.126667606,0.050432711,0.009207711,0.018831884
5,animal,1,bird,0.203013693,0.072750159,0.013066314,0.026684974
5,animal,2,bird,0.194492012,0.072101059,0.012949732,0.026446882
5,animal,3,bird,0.12567088,0.064460819,0.011577505,0.023644419
5,animal,4,bird,0.12451405,0.060892786,0.010936667,0.022335654
5,animal,5,bird,0.108136682,0.067878774,0.012191388,0.024898135
5,animal,6,bird,0.099423666,0.070302002,0.012626612,0.025786983
5,animal,7,bird,0.073868626,0.05099877,0.00915965,0.0187065
5,animal,8,bird,0.070880391,0.056912711,0.010221825,0.020875751
5,person,1,bird,0.158771758,0.071372622,0.012818901,0.026179689
5,person,2,bird,0.152899207,0.070360279,0.012637079,0.025808359
5,person,3,bird,0.152838419,0.066624501,0.011966114,0.024438064
5,person,4,bird,0.168652522,0.063572596,0.011417975,0.023318616
5,person,5,bird,0.093640225,0.064338552,0.011555545,0.023599572
5,person,6,bird,0.09032178,0.068984428,0.012389969,0.025303692
5,person,7,bird,0.084874451,0.06167588,0.011077315,0.022622896
5,person,8,bird,0.098001638,0.07030255,0.012626711,0.025787184
6,animal,1,buffalo,0.326147418,0.164519675,0.030550537,0.062579937
6,animal,2,buffalo,0.181614948,0.10477236,0.019455739,0.039853275
6,animal,3,buffalo,0.119302205,0.110270254,0.020476672,0.041944561
6,animal,4,buffalo,0.094193121,0.095877348,0.017803977,0.036469793
6,animal,5,buffalo,0.128519836,0.108011533,0.020057238,0.04108539
6,animal,6,buffalo,0.064340347,0.076050767,0.014122273,0.028928165
6,animal,7,buffalo,0.046820358,0.072943814,0.013545326,0.027746343
6,animal,8,buffalo,0.039061768,0.064245869,0.011930158,0.024437821
6,person,1,buffalo,0.122813546,0.046954641,0.008719258,0.01786059
6,person,2,buffalo,0.14224618,0.03965585,0.007363906,0.015084279
6,person,3,buffalo,0.104057731,0.052666814,0.009779982,0.020033384
6,person,4,buffalo,0.121291878,0.048105616,0.008932989,0.018298398
6,person,5,buffalo,0.127999346,0.04439714,0.008244342,0.016887769
6,person,6,buffalo,0.143802347,0.043779208,0.008129595,0.01665272
6,person,7,buffalo,0.102195593,0.046003145,0.008542569,0.01749866
6,person,8,buffalo,0.135593379,0.04982508,0.009252285,0.018952447
7,animal,1,cat,0.236845856,0.069145043,0.012839912,0.026301368
7,animal,2,cat,0.070891614,0.078652779,0.014605454,0.029917917
7,animal,3,cat,0.218668305,0.087780679,0.016300463,0.033389985
7,animal,4,cat,0.068411983,0.075598174,0.014038229,0.028756008
7,animal,5,cat,0.165387711,0.077171782,0.01433044,0.029354576
7,animal,6,cat,0.046224277,0.052285532,0.009709179,0.019888353
7,animal,7,cat,0.148124686,0.082870539,0.015388673,0.031522267
7,animal,8,cat,0.045445569,0.055791435,0.010360209,0.021221927
7,person,1,cat,0.129466593,0.062363745,0.011580657,0.0237219
7,person,2,cat,0.113447041,0.058246539,0.010816111,0.022155799
7,person,3,cat,0.129317821,0.070891137,0.013164154,0.026965546
7,person,4,cat,0.124545219,0.068010994,0.012629324,0.025869998
7,person,5,cat,0.1371981,0.073358209,0.013622277,0.02790397
7,person,6,cat,0.11404723,0.057784061,0.010730231,0.021979881
7,person,7,cat,0.130784367,0.062988709,0.01169671,0.023959624
7,person,8,cat,0.121193628,0.061860215,0.011487154,0.023530367
8,animal,1,cow,0.349133471,0.185323954,0.03383537,0.069201102
8,animal,2,cow,0.107447806,0.111091813,0.020282497,0.041482365
8,animal,3,cow,0.217300645,0.130126989,0.023757829,0.048590216
8,animal,4,cow,0.077155971,0.079244835,0.014468061,0.029590508
8,animal,5,cow,0.081197917,0.108289509,0.019770869,0.040435967
8,animal,6,cow,0.056063429,0.071782959,0.013105715,0.026804197
8,animal,7,cow,0.045266249,0.068281735,0.012466482,0.025496819
8,animal,8,cow,0.06643451,0.104715892,0.019118419,0.039101557
8,person,1,cow,0.135926321,0.042628826,0.007782923,0.015917865
8,person,2,cow,0.09094445,0.054006266,0.00986015,0.020166271
8,person,3,cow,0.138643739,0.043956433,0.00802531,0.016413602
8,person,4,cow,0.114015246,0.057398612,0.010479505,0.021432994
8,person,5,cow,0.115867682,0.037105708,0.006774544,0.013855499
8,person,6,cow,0.126394395,0.040866094,0.007461094,0.01525965
8,person,7,cow,0.12618418,0.045828817,0.008367159,0.017112761
8,person,8,cow,0.152023986,0.039089567,0.007136746,0.014596284
9,animal,1,dog,0.275393961,0.126317852,0.024309882,0.049969678
9,animal,2,dog,0.141471412,0.087014906,0.016746026,0.03442195
9,animal,3,dog,0.170901018,0.087919156,0.016920049,0.03477966
9,animal,4,dog,0.102752233,0.0819787,0.015776808,0.032429694
9,animal,5,dog,0.089772245,0.089469679,0.017218448,0.035393026
9,animal,6,dog,0.066027602,0.062494779,0.012027126,0.024722111
9,animal,7,dog,0.061351518,0.067391181,0.012969439,0.026659063
9,animal,8,dog,0.092330011,0.087076173,0.016757817,0.034446187
9,person,1,dog,0.173972826,0.079925416,0.015381654,0.031617442
9,person,2,dog,0.139911683,0.052409504,0.010086214,0.020732509
9,person,3,dog,0.08869332,0.055388479,0.010659518,0.021910952
9,person,4,dog,0.112530572,0.052816473,0.010164535,0.020893501
9,person,5,dog,0.124813804,0.060701693,0.011682046,0.02401279
9,person,6,dog,0.108628404,0.056210588,0.010817733,0.022236168
9,person,7,dog,0.092924503,0.06059886,0.011662256,0.023972111
9,person,8,dog,0.158524889,0.080154284,0.015425699,0.031707979
10,animal,1,dolphin,0.353874472,0.163675411,0.028492232,0.058036777
10,animal,2,dolphin,0.163567538,0.110961184,0.019315863,0.039345125
10,animal,3,dolphin,0.170455063,0.114557911,0.019941973,0.040620469
10,animal,4,dolphin,0.125093195,0.108068712,0.018812348,0.038319499
10,animal,5,dolphin,0.074291763,0.088697777,0.015440301,0.031450864
10,animal,6,dolphin,0.040900189,0.045336551,0.00789208,0.016075642
10,animal,7,dolphin,0.043667675,0.056088407,0.009763738,0.019888084
10,animal,8,dolphin,0.028150105,0.045329043,0.007890774,0.01607298
10,person,1,dolphin,0.170985475,0.058692831,0.01021711,0.020811573
10,person,2,dolphin,0.140862525,0.051994616,0.009051101,0.018436489
10,person,3,dolphin,0.103106756,0.055453548,0.009653224,0.019662973
10,person,4,dolphin,0.14923057,0.048573287,0.008455524,0.017223339
10,person,5,dolphin,0.134394508,0.065705473,0.011437855,0.023298148
10,person,6,dolphin,0.115453037,0.045083841,0.007848089,0.015986035
10,person,7,dolphin,0.086623053,0.055007995,0.009575663,0.019504987
10,person,8,dolphin,0.099344076,0.058607644,0.010202281,0.020781367
11,animal,1,duck,0.24267823,0.148689382,0.024781564,0.050309249
11,animal,2,duck,0.096318972,0.076358193,0.012726366,0.025835896
11,animal,3,duck,0.197007476,0.086252624,0.014375437,0.029183689
11,animal,4,duck,0.076662108,0.062513382,0.010418897,0.021151485
11,animal,5,duck,0.112122518,0.088895471,0.014815912,0.0300779
11,animal,6,duck,0.096777559,0.076958501,0.012826417,0.026039011
11,animal,7,duck,0.090453137,0.084630164,0.014105027,0.028634728
11,animal,8,duck,0.087979999,0.078391082,0.01306518,0.026523726
11,person,1,duck,0.051179701,0.063277454,0.010546242,0.02141001
