"age","gender","condition","sentenceID","funniness","workerID.anonym","punType"
25,"F",1,3,-0.206880383,1,"identical"
25,"F",1,11,-0.206880383,1,"identical"
25,"F",1,19,-0.206880383,1,"identical"
25,"F",1,27,-0.206880383,1,"identical"
25,"F",1,35,-0.206880383,1,"identical"
25,"F",1,45,-0.206880383,1,"identical"
25,"F",1,53,-0.206880383,1,"identical"
25,"F",1,61,-0.206880383,1,"identical"
25,"F",1,66,-0.206880383,1,"identical"
25,"F",1,74,-0.206880383,1,"identical"
25,"F",1,82,-0.206880383,1,"identical"
25,"F",1,90,-0.206880383,1,"identical"
25,"F",1,98,-0.206880383,1,"identical"
25,"F",1,112,-0.206880383,1,"identical"
25,"F",1,120,-0.206880383,1,"identical"
25,"F",1,128,-0.206880383,1,"identical"
25,"F",1,136,-0.206880383,1,"identical"
25,"F",1,144,-0.206880383,1,"identical"
25,"F",1,146,-0.206880383,1,"identical"
25,"F",1,154,-0.206880383,1,"identical"
25,"F",1,162,-0.206880383,1,"identical"
25,"F",1,170,-0.206880383,1,"identical"
25,"F",1,176,-0.206880383,1,"identical"
25,"F",1,184,-0.206880383,1,"identical"
25,"F",1,192,-0.206880383,1,"identical"
25,"F",1,200,-0.206880383,1,"identical"
25,"F",1,208,-0.206880383,1,"identical"
25,"F",1,218,-0.206880383,1,"identical"
25,"F",1,226,-0.206880383,1,"identical"
25,"F",1,234,-0.206880383,1,"identical"
25,"M",1,3,1.824968601,2,"identical"
25,"M",1,11,1.202580465,2,"identical"
25,"M",1,19,-0.664583941,2,"identical"
25,"M",1,27,1.202580465,2,"identical"
25,"M",1,35,-0.042195806,2,"identical"
25,"M",1,45,0.58019233,2,"identical"
25,"M",1,53,1.202580465,2,"identical"
25,"M",1,61,0.58019233,2,"identical"
25,"M",1,66,-0.042195806,2,"identical"
25,"M",1,74,0.58019233,2,"identical"
25,"M",1,82,1.202580465,2,"identical"
25,"M",1,90,0.58019233,2,"identical"
25,"M",1,98,1.824968601,2,"identical"
25,"M",1,112,-1.286972077,2,"identical"
25,"M",1,120,-1.286972077,2,"identical"
25,"M",1,128,-0.664583941,2,"identical"
25,"M",1,136,-0.664583941,2,"identical"
25,"M",1,144,-1.286972077,2,"identical"
25,"M",1,146,-1.286972077,2,"identical"
25,"M",1,154,0.58019233,2,"identical"
25,"M",1,162,-0.664583941,2,"identical"
25,"M",1,170,-0.664583941,2,"identical"
25,"M",1,176,-0.664583941,2,"identical"
25,"M",1,184,2.447356736,2,"identical"
25,"M",1,192,-0.664583941,2,"identical"
25,"M",1,200,-0.664583941,2,"identical"
25,"M",1,208,-0.042195806,2,"identical"
25,"M",1,218,-0.664583941,2,"identical"
25,"M",1,226,-1.286972077,2,"identical"
25,"M",1,234,-1.286972077,2,"identical"
65,"M",1,3,-0.130188911,3,"identical"
65,"M",1,11,-0.130188911,3,"identical"
65,"M",1,19,-0.130188911,3,"identical"
65,"M",1,27,-0.130188911,3,"identical"
65,"M",1,35,-0.130188911,3,"identical"
65,"M",1,45,-0.130188911,3,"identical"
65,"M",1,53,-0.130188911,3,"identical"
65,"M",1,61,-0.130188911,3,"identical"
65,"M",1,66,-0.130188911,3,"identical"
65,"M",1,74,-0.130188911,3,"identical"
65,"M",1,82,-0.130188911,3,"identical"
65,"M",1,90,-0.130188911,3,"identical"
65,"M",1,98,-0.130188911,3,"identical"
65,"M",1,112,-0.130188911,3,"identical"
65,"M",1,120,-0.130188911,3,"identical"
65,"M",1,128,-0.130188911,3,"identical"
65,"M",1,136,-0.130188911,3,"identical"
65,"M",1,144,-0.130188911,3,"identical"
65,"M",1,146,-0.130188911,3,"identical"
65,"M",1,154,-0.130188911,3,"identical"
65,"M",1,162,-0.130188911,3,"identical"
65,"M",1,170,-0.130188911,3,"identical"
65,"M",1,176,-0.130188911,3,"identical"
65,"M",1,184,-0.130188911,3,"identical"
65,"M",1,192,-0.130188911,3,"identical"
65,"M",1,200,-0.130188911,3,"identical"
65,"M",1,208,-0.130188911,3,"identical"
65,"M",1,218,-0.130188911,3,"identical"
65,"M",1,226,-0.130188911,3,"identical"
65,"M",1,234,-0.130188911,3,"identical"
65,"F",1,3,1.918533004,4,"identical"
65,"F",1,11,0.803326627,4,"identical"
65,"F",1,19,1.918533004,4,"identical"
65,"F",1,27,0.245723439,4,"identical"
65,"F",1,35,-0.311879749,4,"identical"
65,"F",1,45,1.918533004,4,"identical"
65,"F",1,53,1.360929816,4,"identical"
65,"F",1,61,2.476136192,4,"identical"
65,"F",1,66,0.803326627,4,"identical"
65,"F",1,74,1.360929816,4,"identical"
65,"F",1,82,1.360929816,4,"identical"
65,"F",1,90,1.360929816,4,"identical"
65,"F",1,98,1.918533004,4,"identical"
65,"F",1,112,-0.311879749,4,"identical"
65,"F",1,120,-0.869482938,4,"identical"
65,"F",1,128,-0.869482938,4,"identical"
65,"F",1,136,-0.869482938,4,"identical"
65,"F",1,144,-0.869482938,4,"identical"
65,"F",1,146,-0.869482938,4,"identical"
65,"F",1,154,-0.869482938,4,"identical"
65,"F",1,162,-0.869482938,4,"identical"
65,"F",1,170,-0.869482938,4,"identical"
65,"F",1,176,-0.311879749,4,"identical"
65,"F",1,184,-0.869482938,4,"identical"
65,"F",1,192,-0.869482938,4,"identical"
65,"F",1,200,-0.869482938,4,"identical"
65,"F",1,208,-0.869482938,4,"identical"
65,"F",1,218,-0.869482938,4,"identical"
65,"F",1,226,-0.869482938,4,"identical"
65,"F",1,234,-0.311879749,4,"identical"
35,"F",1,3,1.392980738,5,"identical"
35,"F",1,11,1.392980738,5,"identical"
35,"F",1,19,-1.236966896,5,"identical"
35,"F",1,27,0.078006921,5,"identical"
35,"F",1,35,1.392980738,5,"identical"
35,"F",1,45,0.73549383,5,"identical"
35,"F",1,53,-1.236966896,5,"identical"
35,"F",1,61,0.73549383,5,"identical"
35,"F",1,66,1.392980738,5,"identical"
35,"F",1,74,0.078006921,5,"identical"
35,"F",1,82,0.73549383,5,"identical"
35,"F",1,90,1.392980738,5,"identical"
35,"F",1,98,0.73549383,5,"identical"
35,"F",1,112,0.078006921,5,"identical"
35,"F",1,120,-1.236966896,5,"identical"
35,"F",1,128,-1.236966896,5,"identical"
35,"F",1,136,-1.236966896,5,"identical"
35,"F",1,144,0.73549383,5,"identical"
35,"F",1,146,-0.579479987,5,"identical"
35,"F",1,154,0.73549383,5,"identical"
35,"F",1,162,-0.579479987,5,"identical"
35,"F",1,170,0.73549383,5,"identical"
35,"F",1,176,0.73549383,5,"identical"
35,"F",1,184,0.078006921,5,"identical"
35,"F",1,192,-1.236966896,5,"identical"
35,"F",1,200,-0.579479987,5,"identical"
35,"F",1,208,0.078006921,5,"identical"
35,"F",1,218,0.078006921,5,"identical"
35,"F",1,226,-0.579479987,5,"identical"
35,"F",1,234,0.078006921,5,"identical"
65,"F",1,3,1.251778396,6,"identical"
65,"F",1,11,1.251778396,6,"identical"
65,"F",1,19,1.251778396,6,"identical"
65,"F",1,27,-0.465778008,6,"identical"
65,"F",1,35,-0.465778008,6,"identical"
65,"F",1,45,1.251778396,6,"identical"
65,"F",1,53,-0.465778008,6,"identical"
65,"F",1,61,-0.465778008,6,"identical"
65,"F",1,66,-0.465778008,6,"identical"
65,"F",1,74,1.251778396,6,"identical"
65,"F",1,82,1.251778396,6,"identical"
65,"F",1,90,1.251778396,6,"identical"
65,"F",1,98,1.251778396,6,"identical"
65,"F",1,112,-0.465778008,6,"identical"
65,"F",1,120,-0.465778008,6,"identical"
65,"F",1,128,-0.465778008,6,"identical"
65,"F",1,136,-0.465778008,6,"identical"
65,"F",1,144,-0.465778008,6,"identical"
65,"F",1,146,-0.465778008,6,"identical"
65,"F",1,154,-0.465778008,6,"identical"
65,"F",1,162,-0.465778008,6,"identical"
65,"F",1,170,-0.465778008,6,"identical"
65,"F",1,176,-0.465778008,6,"identical"
65,"F",1,184,-0.465778008,6,"identical"
65,"F",1,192,-0.465778008,6,"identical"
65,"F",1,200,-0.465778008,6,"identical"
65,"F",1,208,-0.465778008,6,"identical"
65,"F",1,218,-0.465778008,6,"identical"
65,"F",1,226,-0.465778008,6,"identical"
65,"F",1,234,-0.465778008,6,"identical"
35,"F",1,3,-0.286457094,7,"identical"
35,"F",1,11,1.403639761,7,"identical"
35,"F",1,19,-0.286457094,7,"identical"
35,"F",1,27,-0.286457094,7,"identical"
35,"F",1,35,1.403639761,7,"identical"
35,"F",1,45,-0.286457094,7,"identical"
35,"F",1,53,-0.286457094,7,"identical"
35,"F",1,61,-0.286457094,7,"identical"
35,"F",1,66,-0.286457094,7,"identical"
35,"F",1,74,-0.286457094,7,"identical"
35,"F",1,82,-0.286457094,7,"identical"
35,"F",1,90,-0.286457094,7,"identical"
35,"F",1,98,1.403639761,7,"identical"
35,"F",1,112,-0.286457094,7,"identical"
35,"F",1,120,-0.286457094,7,"identical"
35,"F",1,128,-0.286457094,7,"identical"
35,"F",1,136,-0.286457094,7,"identical"
35,"F",1,144,-0.286457094,7,"identical"
35,"F",1,146,-0.286457094,7,"identical"
35,"F",1,154,1.403639761,7,"identical"
35,"F",1,162,-0.286457094,7,"identical"
35,"F",1,170,6.473930326,7,"identical"
35,"F",1,176,-0.286457094,7,"identical"
35,"F",1,184,-0.286457094,7,"identical"
35,"F",1,192,-0.286457094,7,"identical"
35,"F",1,200,-0.286457094,7,"identical"
35,"F",1,208,-0.286457094,7,"identical"
35,"F",1,218,-0.286457094,7,"identical"
35,"F",1,226,-0.286457094,7,"identical"
35,"F",1,234,-0.286457094,7,"identical"
35,"M",1,3,1.43106605,8,"identical"
35,"M",1,11,1.933642817,8,"identical"
35,"M",1,19,-0.57924102,8,"identical"
35,"M",1,27,1.43106605,8,"identical"
35,"M",1,35,0.425912515,8,"identical"
35,"M",1,45,1.43106605,8,"identical"
35,"M",1,53,-0.076664253,8,"identical"
35,"M",1,61,-0.076664253,8,"identical"
35,"M",1,66,1.933642817,8,"identical"
35,"M",1,74,0.928489282,8,"identical"
35,"M",1,82,-0.57924102,8,"identical"
35,"M",1,90,0.928489282,8,"identical"
35,"M",1,98,1.43106605,8,"identical"
35,"M",1,112,-1.081817787,8,"identical"
35,"M",1,120,-1.081817787,8,"identical"
35,"M",1,128,-1.081817787,8,"identical"
35,"M",1,136,-1.081817787,8,"identical"
35,"M",1,144,-1.081817787,8,"identical"
35,"M",1,146,0.425912515,8,"identical"
35,"M",1,154,1.933642817,8,"identical"
35,"M",1,162,-1.081817787,8,"identical"
35,"M",1,170,-1.081817787,8,"identical"
35,"M",1,176,-0.57924102,8,"identical"
35,"M",1,184,-1.081817787,8,"identical"
35,"M",1,192,-0.57924102,8,"identical"
35,"M",1,200,-0.57924102,8,"identical"
35,"M",1,208,-1.081817787,8,"identical"
35,"M",1,218,-0.57924102,8,"identical"
35,"M",1,226,-1.081817787,8,"identical"
35,"M",1,234,-1.081817787,8,"identical"
35,"F",1,3,1.063386226,9,"identical"
35,"F",1,11,1.063386226,9,"identical"
35,"F",1,19,1.063386226,9,"identical"
35,"F",1,27,1.655271013,9,"identical"
35,"F",1,35,1.655271013,9,"identical"
35,"F",1,45,2.247155799,9,"identical"
35,"F",1,53,-0.712268133,9,"identical"
35,"F",1,61,1.063386226,9,"identical"
35,"F",1,66,-0.712268133,9,"identical"
35,"F",1,74,1.063386226,9,"identical"
35,"F",1,82,1.063386226,9,"identical"
35,"F",1,90,-0.120383346,9,"identical"
35,"F",1,98,1.655271013,9,"identical"
35,"F",1,112,-0.712268133,9,"identical"
35,"F",1,120,-0.712268133,9,"identical"
35,"F",1,128,-0.712268133,9,"identical"
35,"F",1,136,-0.712268133,9,"identical"
35,"F",1,144,-0.712268133,9,"identical"
35,"F",1,146,-0.712268133,9,"identical"
35,"F",1,154,-0.120383346,9,"identical"
35,"F",1,162,-0.712268133,9,"identical"
35,"F",1,170,-0.712268133,9,"identical"
35,"F",1,176,-0.712268133,9,"identical"
35,"F",1,184,-0.712268133,9,"identical"
35,"F",1,192,-0.712268133,9,"identical"
35,"F",1,200,-0.712268133,9,"identical"
35,"F",1,208,-0.712268133,9,"identical"
35,"F",1,218,-0.712268133,9,"identical"
35,"F",1,226,-0.712268133,9,"identical"
35,"F",1,234,-0.712268133,9,"identical"
35,"F",1,3,0.258948674,10,"identical"
35,"F",1,11,-0.589827535,10,"identical"
35,"F",1,19,1.107724883,10,"identical"
35,"F",1,27,1.956501091,10,"identical"
35,"F",1,35,0.258948674,10,"identical"
35,"F",1,45,1.956501091,10,"identical"
35,"F",1,53,0.258948674,10,"identical"
35,"F",1,61,1.956501091,10,"identical"
35,"F",1,66,0.258948674,10,"identical"
35,"F",1,74,-0.589827535,10,"identical"
35,"F",1,82,0.258948674,10,"identical"
35,"F",1,90,-0.589827535,10,"identical"
35,"F",1,98,2.8052773,10,"identical"
35,"F",1,112,-0.589827535,10,"identical"
35,"F",1,120,-0.589827535,10,"identical"
35,"F",1,128,-0.589827535,10,"identical"
35,"F",1,136,-0.589827535,10,"identical"
35,"F",1,144,-0.589827535,10,"identical"
35,"F",1,146,-0.589827535,10,"identical"
35,"F",1,154,-0.589827535,10,"identical"
35,"F",1,162,-0.589827535,10,"identical"
35,"F",1,170,-0.589827535,10,"identical"
35,"F",1,176,-0.589827535,10,"identical"
35,"F",1,184,-0.589827535,10,"identical"
35,"F",1,192,-0.589827535,10,"identical"
35,"F",1,200,-0.589827535,10,"identical"
35,"F",1,208,-0.589827535,10,"identical"
35,"F",1,218,-0.589827535,10,"identical"
35,"F",1,226,-0.589827535,10,"identical"
