"gender","age","condition","sentenceID","funniness","workerID.anonym","punType"
"M",35,6,51,-0.528021881,94,"near"
"M",35,6,52,2.721343539,94,"near"
"M",35,6,53,1.909002184,94,"near"
"M",35,6,54,1.096660829,94,"near"
"M",35,6,55,-0.528021881,94,"near"
"M",35,6,56,-0.528021881,94,"near"
"M",35,6,57,-0.528021881,94,"near"
"M",35,6,58,1.909002184,94,"near"
"M",35,6,59,1.909002184,94,"near"
"M",35,6,60,2.721343539,94,"near"
"M",35,6,121,0.284319474,94,"near"
"M",35,6,122,-0.528021881,94,"near"
"M",35,6,123,-0.528021881,94,"near"
"M",35,6,124,1.909002184,94,"near"
"M",35,6,125,-0.528021881,94,"near"
"M",35,6,126,-0.528021881,94,"near"
"M",35,6,127,-0.528021881,94,"near"
"M",35,6,128,0.284319474,94,"near"
"M",35,6,129,0.284319474,94,"near"
"M",35,6,130,-0.528021881,94,"near"
"M",35,6,221,-0.528021881,94,"near"
"M",35,6,222,-0.528021881,94,"near"
"M",35,6,223,-0.528021881,94,"near"
"M",35,6,224,-0.528021881,94,"near"
"M",35,6,225,-0.528021881,94,"near"
"M",35,6,226,-0.528021881,94,"near"
"M",35,6,227,-0.528021881,94,"near"
"M",35,6,228,-0.528021881,94,"near"
"M",35,6,229,-0.528021881,94,"near"
"M",35,6,230,-0.528021881,94,"near"
"M",35,6,261,-0.528021881,94,"near"
"M",35,6,262,-0.528021881,94,"near"
"M",35,6,263,-0.528021881,94,"near"
"M",35,6,264,-0.528021881,94,"near"
"M",35,6,265,0.284319474,94,"near"
"M",35,6,266,-0.528021881,94,"near"
"M",35,6,267,-0.528021881,94,"near"
"M",35,6,268,-0.528021881,94,"near"
"M",35,6,269,-0.528021881,94,"near"
"M",35,6,270,-0.528021881,94,"near"
"F",35,5,41,2.176983588,95,"near"
"F",35,5,42,1.067692588,95,"near"
"F",35,5,43,1.622338088,95,"near"
"F",35,5,44,1.622338088,95,"near"
"F",35,5,45,2.176983588,95,"near"
"F",35,5,46,2.176983588,95,"near"
"F",35,5,47,1.067692588,95,"near"
"F",35,5,48,1.067692588,95,"near"
"F",35,5,49,1.067692588,95,"near"
"F",35,5,50,2.176983588,95,"near"
"F",35,5,131,-0.596243913,95,"near"
"F",35,5,132,0.513047088,95,"near"
"F",35,5,133,-0.596243913,95,"near"
"F",35,5,134,-0.596243913,95,"near"
"F",35,5,135,-0.596243913,95,"near"
"F",35,5,136,-0.596243913,95,"near"
"F",35,5,137,-0.596243913,95,"near"
"F",35,5,138,-0.041598413,95,"near"
"F",35,5,139,-0.596243913,95,"near"
"F",35,5,140,-0.596243913,95,"near"
"F",35,5,231,-0.596243913,95,"near"
"F",35,5,232,-0.596243913,95,"near"
"F",35,5,233,-0.596243913,95,"near"
"F",35,5,234,-0.596243913,95,"near"
"F",35,5,235,-0.596243913,95,"near"
"F",35,5,236,-0.596243913,95,"near"
"F",35,5,237,-0.596243913,95,"near"
"F",35,5,238,-0.596243913,95,"near"
"F",35,5,239,-0.596243913,95,"near"
"F",35,5,240,-0.596243913,95,"near"
"F",35,5,271,-0.596243913,95,"near"
"F",35,5,272,-0.596243913,95,"near"
"F",35,5,273,-0.596243913,95,"near"
"F",35,5,274,-0.596243913,95,"near"
"F",35,5,275,-0.596243913,95,"near"
"F",35,5,276,-0.596243913,95,"near"
"F",35,5,277,-0.596243913,95,"near"
"F",35,5,278,-0.596243913,95,"near"
