punType,sentenceID,sentenceType,ambiguity,m1KL,m1Focus,m2Focus,m2KL,distinctiveness
identical,1,pun,0.616718652,1.119920109,prophet;atheism;organization,non;organization,6.208520305,7.328440414
identical,2,pun,0.001506356,0.725754515,pi;circumference,circumference;large,5.83971914,6.565473655
identical,3,pun,0.337971491,1.873743985,knead;bakers;bread;recipes,basis;trade,7.150314082,9.024058067
identical,4,pun,0.00017404,2.801674254,oar;rower,choose;either;indecisive;not,7.890355679,10.69202993
identical,5,pun,0.032162791,1.417153634,tiers;cake;wedding,emotional;wedding,6.469518258,7.886671892
identical,6,pun,0.003726678,1.148991389,poll;conduct;decided;flag,flag,6.258451102,7.407442491
identical,7,pun,0.612586713,1.630418029,bored;meetings,chairman;executive;meetings,6.571081425,8.201499454
identical,8,pun,1.09E-07,0.858578093,greece,donuts,5.969816559,6.828394652
identical,9,pun,0.096802699,0.961862675,sine;trigonometry,prayed;trigonometry,6.088461182,7.050323857
identical,10,pun,0.000881847,0.82873553,principal;just;school,disliked;just;school,5.951077372,6.779812902
identical,11,pun,2.48E-08,1.313802308,cd;music;stores,,6.537100784,7.850903092
identical,12,pun,0.147522507,1.358221734,hare;magician,pulled,6.508595106,7.86681684
identical,13,pun,0.503261117,1.012278978,knotty;sapling,admonished;young,6.127934719,7.140213697
identical,14,pun,0.193825182,1.505260947,taut;rope,learn;tricks,6.524096723,8.02935767
identical,15,pun,0.00064672,1.193861109,marx;class;communism,class,6.354674277,7.548535386
identical,16,pun,0.202374832,0.85336819,hi;people,waves,5.962409034,6.815777224
identical,17,pun,0.506137575,1.46835302,daze,school;time;tough,6.509853992,7.978207012
identical,18,pun,0.020799649,1.322315967,prose;authors,authors;cons,6.365713983,7.68802995
identical,19,pun,0.443844415,1.268807869,plane;flying;food,fancy;food,6.502805272,7.771613141
identical,20,pun,0.000570441,0.969818331,dam;beaver,beaver,6.139517896,7.109336227
identical,21,pun,0.001587939,0.989656542,hertz;computer,,6.126753006,7.116409548
identical,22,pun,1.19E-06,1.131011932,role;actors;movie,movie,6.327372661,7.458384593
identical,23,pun,0.639606129,1.811854568,collar;id;man;neck;shirt,id;man;name,7.073653935,8.885508503
identical,24,pun,0.09359546,1.178576008,steal;thieves,,6.451643877,7.630219885
identical,25,pun,0.332494518,1.421845738,dye;gray;hair;strands,gray,6.61230477,8.034150508
identical,26,pun,0.366910163,1.533479616,waist;belt,cardboard;paper,6.718067596,8.251547212
identical,27,pun,0.000134488,1.587751506,feet;fourteen;shoes;size,able,6.795137249,8.382888755
identical,28,pun,0.032749793,1.018078507,aloud;say,wanted,6.162159795,7.180238302
identical,29,pun,4.79E-05,1.052596788,pail;buckets;carry,,6.208072197,7.260668985
identical,30,pun,0.250279461,1.364161473,manor;castle;home,castle;speaking,6.567420254,7.931581727
identical,31,pun,7.20E-06,1.972566341,cache;computer;online,chips;poker;tournament,7.114479432,9.087045773
identical,32,pun,4.60E-06,2.417539344,reign;britain;long;queen,britain;wet,7.455636053,9.873175397
identical,33,pun,0.525478566,2.018402656,thyme;gardeners;herb,extra;work,7.32680954,9.345212196
identical,34,pun,0.010891636,1.401588314,pore;skin,bad;excuse,6.604288719,8.005877033
identical,35,pun,0.377660188,0.995979872,gilt;gold,complex;people,6.102688692,7.098668564
identical,36,pun,0.129546402,0.694318645,heir;human,human,5.808067353,6.502385998
identical,37,pun,0.000136628,1.286556574,son;boy;only,,6.464586972,7.751143546
identical,38,pun,0.338632716,1.800716847,c's,high;pirates;terrible,6.796685964,8.597402811
identical,39,pun,0.452555502,2.680423868,watt;bright;electrician;spark,knows;what's,7.806430718,10.48685459
identical,40,pun,0.30430949,1.52622293,razor;slash,fund,6.67289578,8.19911871
