punType,sentenceID,sentenceType,ambiguity,m1KL,m1Focus,m2Focus,m2KL,distinctiveness
near,1,pun,0.564827298,1.301175329,lion;circus,driver,6.479014982,7.780190311
near,2,pun,0.096042288,1.641785126,tooth;dentist;patient,tell;whole,6.834391337,8.476176463
near,3,pun,2.18E-05,1.290872585,cilia,ridiculous,6.386942116,7.677814701
near,4,pun,8.79E-06,1.786193367,heir;man;money;inherited;late;father,man;extension,6.975263784,8.761457151
near,5,pun,0.686904948,2.109658057,clothing;men's;wear;store,opening;times,7.269293409,9.378951466
near,6,pun,0.00020349,1.350652271,ambiance,paramedic;job;driver,6.467298269,7.81795054
near,7,pun,0.679663395,1.67829958,perches;pet;bird,store;necessary,6.791510592,8.469810172
near,8,pun,0.035565459,0.75528877,reword,,5.866007837,6.621296607
near,9,pun,0.182446985,1.637272285,math;algebra;class,weapon;disruption,6.906603424,8.543875709
near,10,pun,9.61E-08,0.915691786,stealer;thief;stole,thief;stole,6.058793816,6.974485602
near,11,pun,0.680694553,1.673187561,wicker;basket,pranked;hit;humor,6.860558715,8.533746276
near,12,pun,0.137779637,0.884408232,spatial,lovable,5.996854998,6.88126323
near,13,pun,0.157119847,1.484952972,whirled;turn,astronaut;turn;traveler,6.594640781,8.079593753
near,14,pun,0.636066983,1.989405236,caesars;brutus',cautioned;run,7.042443248,9.031848484
near,15,pun,1.86E-05,1.333223421,launch;astronauts,,6.588043237,7.921266658
near,16,pun,0.656242811,1.141876724,bloom;flower;show,flower;ribbon,6.256832351,7.398709075
near,17,pun,0.320627382,1.359332509,flea;pet;dog,buy;get,6.516722242,7.876054751
near,18,pun,0.211639198,1.309781991,fillings;dentist,kind,6.501834694,7.811616685
near,19,pun,0.004982481,0.910147536,salivation;bell;pavlov;army,pavlov;birth;army,6.022634604,6.93278214
near,20,pun,0.240417834,0.940769979,orifice;dentists,dentists;day,6.045451306,6.986221285
near,21,pun,0.007051803,2.429002233,braille;blind,arrest;out,7.450922714,9.879924947
near,22,pun,3.05E-07,2.819955062,sperm;y;chromosome;father;sex;child,sex;moment,7.918726495,10.73868156
near,23,pun,0.107385977,1.163121569,grime;washing;hands,,6.265015398,7.428136967
near,24,pun,0.004196414,1.310417076,epoch,faces;marks,6.397431016,7.707848092
near,25,pun,0.006977802,1.611899032,bonus;labored;worked,hard;worked;fingers,6.704899167,8.316798199
near,26,pun,0.623760452,1.546784628,hobbit;reading;the;lord;rings,keep;reading,6.69804195,8.244826578
near,27,pun,0.039488989,1.05471222,screaming;horror;movie,horror;movie;private,6.173586695,7.228298915
near,28,pun,0.010627198,2.078786699,ohms;current;electrifying,adventures;sherlock,7.098956905,9.177743604
near,29,pun,1.36E-06,0.799407427,kant;philosophy,,5.915800028,6.715207455
near,30,pun,0.14132645,0.947464664,tamper,lose,6.053226707,7.000691371
near,31,pun,0.293630262,1.735318874,latte;coffee;shop,time;shop;work,6.923344766,8.65866364
near,32,pun,7.94E-05,0.807459841,libel;write;bad;sue,bad;sue,5.924706904,6.732166745
near,33,pun,0.663393052,2.063200635,tryst;secret;meeting;lovers,novel;unexpected;secret;plot,7.115868898,9.179069533
near,34,pun,0.097221852,1.381828594,propane;inflammatory;seen,inflammatory;talk;language,6.508630172,7.890458766
